Metric,Mar 2025,Sep 2025,Mar 2026
Sales,4.16,5.08,4.41
Expenses,3.88,4.54,3.96
  └─ Material Cost %,18.03%,27.17%,19.95%
  └─ Employee Cost %,34.86%,30.91%,34.24%
Operating Profit,0.28,0.54,0.45
OPM %,6.73%,10.63%,10.20%
Other Income,0.17,0.11,0.08
  └─ Other income normal,0.17,0.11,0.08
Interest,0.02,0.05,0.02
Depreciation,0.14,0.25,0.26
Profit before tax,0.29,0.35,0.25
Tax %,41.38%,14.29%,52.00%
Net Profit,0.17,0.30,0.12
  └─ Profit excl Excep,0.17,0.30,0.12
  └─ Profit for PE,0.17,0.30,0.12
  └─ Profit for EPS,0.17,0.30,0.12
EPS in Rs,0.74,1.31,0.53
Raw PDF,,,
