Metric,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021
Sales,8.88,13.82,20.63,19.95,6.71,10.05,30.25,24.50,5.68,17.77,25.87,28.27
  └─ YOY Sales Growth %,,,,,-24.44%,-27.28%,46.63%,22.81%,-15.35%,76.82%,-14.48%,15.39%
Expenses,15.93,11.43,15.20,18.30,13.63,8.02,18.68,20.78,15.00,12.19,19.52,22.29
  └─ Material Cost %,51.91%,-19.39%,-9.99%,24.61%,48.44%,-26.17%,2.55%,21.96%,11.62%,-23.19%,-5.14%,20.87%
  └─ Employee Cost %,80.07%,67.95%,57.49%,44.91%,94.93%,70.55%,38.35%,38.86%,149.12%,62.97%,55.39%,37.88%
Operating Profit,-7.05,2.39,5.43,1.65,-6.92,2.03,11.57,3.72,-9.32,5.58,6.35,5.98
OPM %,-79.39%,17.29%,26.32%,8.27%,-103.13%,20.20%,38.25%,15.18%,-164.08%,31.40%,24.55%,21.15%
Other Income,0.88,0.22,0.23,0.22,1.05,0.24,0.28,0.20,1.06,0.29,0.35,0.38
  └─ Other income normal,0.88,0.22,0.23,0.22,1.05,0.24,0.28,0.20,1.06,0.29,0.35,0.38
Interest,0.40,0.54,0.65,0.57,0.49,0.66,0.57,0.55,0.43,0.60,0.60,0.34
Depreciation,0.39,0.39,0.40,0.40,0.41,0.41,0.40,0.44,0.42,0.43,0.44,0.45
Profit before tax,-6.96,1.68,4.61,0.90,-6.77,1.20,10.88,2.93,-9.11,4.84,5.66,5.57
Tax %,-4.45%,0.60%,0.00%,0.00%,-0.74%,3.33%,0.00%,0.00%,12.51%,0.00%,0.00%,0.00%
Net Profit,-6.65,1.67,4.62,0.91,-6.72,1.16,10.88,2.93,-10.25,4.84,5.66,5.57
  └─ Profit excl Excep,-7,2,5,1,-7,1,11,3,-10,5,6,6
  └─ Profit for PE,-7,2,5,1,-7,1,11,3,-10,5,6,6
  └─ Profit for EPS,-7,2,5,1,-7,1,11,3,-10,5,6,6
  └─ YOY Profit Growth %,,,,,-1%,-31%,136%,222%,-53%,317%,-48%,90%
EPS in Rs,-4.44,1.11,3.08,0.61,-4.48,0.77,7.26,1.95,-6.84,3.23,3.78,3.72
Raw PDF,,,,,,,,,,,,
