Metric,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018
Sales,1.00,1.24,1.11,1.56,2.01,1.32,1.71,1.63,1.35,1.33,1.51,1.12,1.56
  └─ YOY Sales Growth %,-49.49%,0.81%,-30.62%,51.46%,101.00%,-15.38%,-14.93%,,,0.76%,-11.70%,-31.29%,15.56%
Expenses,0.88,1.24,0.74,1.00,1.40,1.24,1.57,1.54,1.16,1.16,1.37,1.02,1.47
  └─ Material Cost %,35.00%,46.77%,9.01%,23.08%,30.85%,41.67%,35.09%,44.79%,22.96%,18.05%,1.99%,0.00%,1.28%
  └─ Employee Cost %,7.00%,6.45%,7.21%,5.13%,5.47%,11.36%,15.20%,11.66%,17.04%,21.80%,30.46%,21.43%,25.00%
Operating Profit,0.12,0.00,0.37,0.56,0.61,0.08,0.14,0.09,0.19,0.17,0.14,0.10,0.09
OPM %,12.00%,0.00%,33.33%,35.90%,30.35%,6.06%,8.19%,5.52%,14.07%,12.78%,9.27%,8.93%,5.77%
Other Income,0.03,0.00,0.10,0.00,-0.10,0.02,0.09,0.03,0.04,0.02,-0.02,0.02,0.05
  └─ Other income normal,0.03,0.00,0.10,0.00,-0.10,0.02,0.09,0.03,0.04,0.02,-0.02,0.02,0.05
Interest,0.10,0.07,0.07,0.06,0.06,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00
Depreciation,1.18,0.25,0.22,0.22,0.29,0.15,0.30,0.12,0.12,0.12,0.10,0.10,0.11
Profit before tax,-1.13,-0.32,0.18,0.28,0.16,-0.08,-0.10,-0.03,0.11,0.07,0.02,0.02,0.03
Tax %,0.00%,0.00%,0.00%,0.00%,-75.00%,0.00%,-110.00%,0.00%,0.00%,0.00%,-350.00%,-100.00%,-100.00%
Net Profit,-1.13,-0.32,0.18,0.27,0.29,-0.08,0.01,-0.03,0.11,0.07,0.08,0.04,0.06
  └─ Profit excl Excep,-1.13,-0.32,0.18,0.27,0.29,-0.08,0.01,-0.03,0.11,0.07,0.08,0.04,0.06
  └─ Profit for PE,-1.13,-0.32,0.18,0.27,0.29,-0.08,0.01,-0.03,0.11,0.07,0.08,0.04,0.06
  └─ Profit for EPS,-1.13,-0.32,0.18,0.27,0.29,-0.08,0.01,-0.03,0.11,0.07,0.08,0.04,0.06
  └─ YOY Profit Growth %,-1155.56%,-146.15%,800.00%,2800.00%,125.66%,-129.63%,-96.55%,,,187.50%,700.00%,233.33%,-45.45%
EPS in Rs,-0.69,-0.20,0.11,0.16,0.18,-0.05,0.01,-0.02,0.07,0.04,0.05,0.02,0.04
Raw PDF,,,,,,,,,,,,,
