Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,1245.01,835.31,1073.63,1323.80,1207.90,1160.06,871.08,0.93,-168.79,0.00,0.00,0.00,8.46
  └─ YOY Sales Growth %,117%,7%,-28%,-36%,-3%,39%,-19%,-100%,-114%,-100%,-100%,-100%,105%
Expenses,1084.07,1533.74,1757.07,1334.11,1240.95,1224.10,941.07,23.46,-165.87,15.09,5.82,3.44,13.38
  └─ Material Cost %,44.79%,50.28%,47.95%,53.90%,50.04%,53.49%,49.92%,975.27%,,,,,0.00%
  └─ Employee Cost %,1.84%,3.36%,2.21%,1.90%,2.01%,2.11%,1.96%,529.03%,,,,,18.09%
Operating Profit,160.94,-698.43,-683.44,-10.31,-33.05,-64.04,-69.99,-22.53,-2.92,-15.09,-5.82,-3.44,-4.92
OPM %,12.93%,-83.61%,-63.66%,-0.78%,-2.74%,-5.52%,-8.03%,-2422.58%,,,,,-58.16%
Other Income,1.86,43.80,1.24,9.87,1.24,9.58,2608.60,2.74,0.02,3.55,0.84,0.01,0.17
  └─ Other income normal,1.86,43.80,1.24,9.87,1.24,9.58,2608.60,2.74,0.02,3.55,0.84,0.01,0.17
Interest,151.72,117.26,114.89,120.19,109.96,134.09,57.47,0.67,0.61,2.58,1.28,1.59,1.00
Depreciation,19.40,18.91,12.48,12.49,12.46,12.26,8.28,0.00,0.00,0.00,0.00,0.00,0.00
Profit before tax,-8.32,-790.80,-809.57,-133.12,-154.23,-200.81,2472.86,-20.46,-3.51,-14.12,-6.26,-5.02,-5.75
Tax %,-75.48%,-27.53%,-0.51%,-3.09%,-2.67%,-0.69%,0.80%,-26.93%,-25.07%,-23.87%,0.00%,0.00%,0.00%
Net Profit,-2.03,-573.07,-805.45,-129.00,-150.12,-199.42,2453.20,-14.95,-2.63,-10.75,-6.26,-5.02,-5.75
  └─ Profit excl Excep,-2,-573,-805,-129,-150,-199,2453,-15,-3,-11,-6,-5,-6
  └─ Profit for PE,-2,-573,-805,-129,-150,-199,2453,-15,-3,-11,-6,-5,-6
  └─ Profit for EPS,-2,-573,-805,-129,-150,-199,2453,-15,-3,-11,-6,-5,-6
  └─ YOY Profit Growth %,99%,-291%,-466%,29%,-7295%,65%,405%,88%,98%,95%,-100%,66%,-119%
EPS in Rs,-0.03,-9.58,-13.47,-2.16,-2.51,-3.33,41.02,-0.25,-0.04,-0.18,-0.10,-0.08,-0.10
Raw PDF,,,,,,,,,,,,,
