Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,678,644,753,701,700,739,809,721,743,738,782,888,965
  └─ YOY Sales Growth %,3.51%,8.24%,10.90%,0.29%,3.24%,14.75%,7.44%,2.85%,6.14%,-0.14%,-3.34%,23.16%,29.88%
Expenses,675,628,681,664,759,648,699,593,679,666,604,711,740
  └─ Material Cost %,45.13%,43.79%,38.11%,43.08%,42.00%,42.35%,36.71%,36.34%,34.99%,35.77%,29.80%,35.70%,32.95%
  └─ Employee Cost %,21.24%,23.91%,22.05%,21.68%,22.43%,21.65%,19.90%,22.75%,22.34%,23.17%,23.79%,20.38%,19.38%
Operating Profit,3,16,72,37,-59,91,110,128,64,72,178,177,225
OPM %,0%,2%,10%,5%,-8%,12%,14%,18%,9%,10%,23%,20%,23%
Other Income,-64,0,24,8,10,30,9,8,15,-77,21,15,67
  └─ Exceptional items,-96.00,-14.00,0.00,0.00,-44.00,0.00,0.00,0.00,0.00,-97.00,0.00,-10.00,22.00
  └─ Other income normal,32.00,14.00,24.00,8.00,54.00,30.00,9.00,8.00,15.00,20.00,21.00,25.00,45.00
Interest,76,79,76,77,73,73,73,60,48,48,55,60,50
Depreciation,56,55,55,55,58,54,55,55,53,56,53,65,53
Profit before tax,-193,-118,-35,-87,-180,-6,-9,21,-22,-109,91,67,189
Tax %,23%,15%,109%,-1%,-2%,167%,78%,5%,105%,-1%,10%,9%,13%
Net Profit,-237,-136,-73,-86,-177,-16,-16,20,-45,-108,82,61,164
  └─ Minority share,29,2,-4,3,8,2,-6,-6,20,18,-4,-2,2
  └─ Exceptional items AT,-74,-12,0,0,-44,0,0,0,0,-93,0,-9,19
  └─ Profit excl Excep,-163,-124,-73,-86,-133,-16,-16,20,-45,-15,82,70,145
  └─ Profit for PE,-143,-122,-77,-83,-127,-14,-22,14,-25,-12,78,68,147
  └─ Profit for EPS,-208,-134,-77,-83,-169,-14,-22,14,-25,-90,78,59,166
  └─ YOY Profit Growth %,-34%,-83%,-448%,11%,11%,89%,71%,117%,80%,13%,455%,384%,688%
EPS in Rs,-14.44,-9.30,-5.34,-5.76,-11.02,-0.91,-1.43,0.86,-1.54,-5.54,4.80,3.63,10.22
Raw PDF,,,,,,,,,,,,,
