Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,45.13,51.42,88.36,27.62,42.79,73.44,111.04,38.66,53.37,67.22,73.75
  └─ YOY Sales Growth %,,,,,-5.19%,42.82%,25.67%,39.97%,24.73%,-8.47%,-33.58%
Expenses,27.26,38.62,62.50,27.94,37.57,60.72,74.37,35.57,46.75,58.71,69.97
  └─ Material Cost %,40.24%,33.86%,37.86%,30.01%,39.38%,47.77%,35.82%,37.61%,40.15%,50.58%,48.64%
  └─ Employee Cost %,6.60%,21.14%,15.01%,33.42%,23.56%,19.28%,12.78%,27.11%,21.59%,16.96%,21.75%
Operating Profit,17.87,12.80,25.86,-0.32,5.22,12.72,36.67,3.09,6.62,8.51,3.78
OPM %,39.60%,24.89%,29.27%,-1.16%,12.20%,17.32%,33.02%,7.99%,12.40%,12.66%,5.13%
Other Income,2.22,1.51,1.15,1.57,1.15,1.16,1.34,1.50,0.80,2.49,-2.16
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.06
  └─ Other income normal,2.22,1.51,1.15,1.57,1.15,1.16,1.34,1.50,0.80,2.49,0.90
Interest,0.37,-0.03,0.20,0.18,0.21,0.29,0.16,0.12,0.08,0.23,0.31
Depreciation,17.42,0.92,0.74,0.75,0.79,0.91,0.86,0.82,1.02,1.21,1.25
Profit before tax,2.30,13.42,26.07,0.32,5.37,12.68,36.99,3.65,6.32,9.56,0.06
Tax %,15.65%,38.30%,19.60%,34.38%,13.59%,30.84%,26.68%,27.67%,28.48%,17.78%,83.33%
Net Profit,1.94,8.28,20.96,0.22,4.65,8.77,27.12,2.65,4.53,7.87,0.01
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,-2
  └─ Profit excl Excep,2,8,21,0,5,9,27,3,5,8,2
  └─ Profit for PE,2,8,21,0,5,9,27,3,5,8,2
  └─ Profit for EPS,2,8,21,0,5,9,27,3,5,8,0
  └─ YOY Profit Growth %,,,,,140%,6%,29%,1105%,-3%,-10%,-92%
EPS in Rs,7.10,30.28,76.66,0.09,1.89,3.56,11.02,1.08,1.84,3.20,0.00
Raw PDF,,,,,,,,,,,
