Metric,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,2,2,3,12,9,14,6,15,7,27,41,106
Expenses,1,1,1,9,6,11,6,9,7,19,33,88
  └─ Material Cost %,51%,22%,18%,31%,24%,50%,65%,40%,52%,31%,70%,79%
  └─ Employee Cost %,9%,11%,16%,13%,21%,6%,20%,11%,23%,11%,3%,2%
Operating Profit,0,1,2,3,3,3,-1,6,0,8,8,18
OPM %,27%,54%,57%,28%,37%,19%,-11%,39%,6%,28%,21%,17%
Other Income,0,0,0,1,0,0,0,0,0,0,0,0
  └─ Other income normal,0.01,0.00,0.12,0.71,0.02,0.19,0.00,0.26,0.00,0.00,0.00,0.00
Interest,0,0,0,0,0,0,0,1,1,2,2,4
Depreciation,0,0,0,1,1,2,2,1,1,0,1,3
Profit before tax,0,1,1,3,2,1,-3,4,-2,5,6,12
Tax %,-28%,-94%,24%,27%,28%,26%,0%,11%,6%,16%,31%,46%
Net Profit,0,1,1,2,1,1,-3,4,-2,4,4,6
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44
  └─ Profit excl Excep,0.37,1.04,0.96,2.14,1.39,0.76,-2.53,3.66,-1.83,4.33,4.19,6.32
  └─ Profit for PE,0.37,1.04,0.96,2.14,1.39,0.76,-2.53,3.66,-1.83,4.33,4.19,6.76
  └─ Profit for EPS,0.37,1.04,0.96,2.14,1.39,0.76,-2.53,3.66,-1.83,4.33,4.19,6.76
EPS in Rs,1.16,0.75,0.70,1.18,0.77,0.42,-1.40,2.02,-1.01,2.28,1.90,3.04
Raw PDF,,,,,,,,,,,,
