Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,364,347,380,412,381,448,599
  └─ YOY Sales Growth %,,,,,5%,29%,58%
Expenses,350,330,361,393,365,425,571
  └─ Material Cost %,93%,92%,92%,92%,93%,92%,92%
  └─ Employee Cost %,1%,1%,1%,1%,1%,1%,1%
Operating Profit,14,16,19,19,16,24,28
OPM %,4%,5%,5%,5%,4%,5%,5%
Other Income,1,2,2,1,3,1,4
  └─ Other income normal,0.55,1.72,2.17,1.33,2.69,0.65,3.93
Interest,3,3,3,3,3,3,4
Depreciation,1,1,1,1,1,1,1
Profit before tax,11,15,18,16,15,21,27
Tax %,23%,28%,28%,24%,28%,25%,27%
Net Profit,8,11,13,12,10,15,20
  └─ Profit excl Excep,8,11,13,12,10,15,20
  └─ Profit for PE,8,11,13,12,10,15,20
  └─ Profit for EPS,8,11,13,12,10,15,20
  └─ YOY Profit Growth %,,,,,26%,47%,55%
EPS in Rs,20.82,0.66,0.79,0.76,0.66,0.72,0.92
Raw PDF,,,,,,,
