Metric,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,12.10,5.30,11.56,7.59,9.56,1.01,1.40
Expenses,11.73,4.99,11.15,7.45,8.30,1.21,2.62
  └─ Material Cost %,94%,92%,93%,97%,80%,115%,140%
  └─ Employee Cost %,0%,0%,0%,0%,0%,1%,10%
Operating Profit,0.37,0.31,0.41,0.14,1.26,-0.20,-1.22
OPM %,3.06%,5.85%,3.55%,1.84%,13.18%,-19.80%,-87.14%
Other Income,0.11,0.00,0.87,0.02,0.06,0.59,0.86
  └─ Other income normal,0.11,0.00,0.87,0.02,0.06,0.59,0.86
Interest,0.14,0.09,0.10,0.07,0.13,0.09,0.08
Depreciation,0.16,0.20,0.32,0.21,0.25,0.30,0.21
Profit before tax,0.18,0.02,0.86,-0.12,0.94,0.00,-0.65
Tax %,83.33%,50.00%,20.93%,8.33%,17.02%,,-24.62%
Net Profit,0.02,0.01,0.68,-0.13,0.78,0.01,-0.50
  └─ Minority share,0.00,-0.01,0.00,0.00,0.00,0.00,0.01
  └─ Profit excl Excep,0.02,0.01,0.68,-0.13,0.78,0.01,-0.50
  └─ Profit for PE,0.02,0.00,0.68,-0.13,0.78,0.01,-0.49
  └─ Profit for EPS,0.02,0.00,0.68,-0.13,0.78,0.01,-0.49
EPS in Rs,0.02,0.00,0.59,-0.11,0.68,0.01,-0.43
Raw PDF,,,,,,,
