Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,465,571,481,741,507,596,567,928,529,624,688,1061,830
  └─ YOY Sales Growth %,8%,-2%,-10%,-9%,9%,4%,18%,25%,5%,5%,21%,14%,57%
Expenses,434,538,451,695,475,555,532,868,493,571,624,930,717
  └─ Material Cost %,84%,85%,85%,86%,86%,84%,85%,86%,83%,82%,81%,82%,80%
  └─ Employee Cost %,4%,4%,4%,3%,4%,4%,4%,3%,4%,4%,3%,2%,3%
Operating Profit,31,32,30,46,31,41,35,60,36,53,64,131,112
OPM %,7%,6%,6%,6%,6%,7%,6%,6%,7%,9%,9%,12%,14%
Other Income,1,1,1,2,2,1,1,1,1,2,2,2,2
  └─ Other income normal,0.78,1.00,1.10,1.57,2.10,1.00,1.24,0.82,1.31,1.73,1.84,2.05,1.72
Interest,12,12,13,12,13,13,13,13,17,18,16,19,16
Depreciation,6,6,6,6,5,6,6,6,7,7,8,6,8
Profit before tax,14,15,12,29,15,23,17,42,14,30,42,108,90
Tax %,15%,25%,26%,26%,17%,27%,30%,28%,30%,24%,25%,26%,25%
Net Profit,12,11,9,21,13,17,12,30,9,22,32,81,68
  └─ Profit excl Excep,12,11,9,21,13,17,12,30,9,22,32,81,68
  └─ Profit for PE,12,11,9,21,13,17,12,30,9,22,32,81,68
  └─ Profit for EPS,12,11,9,21,13,17,12,30,9,22,32,81,68
  └─ YOY Profit Growth %,226%,366%,65%,4%,8%,50%,33%,39%,-25%,32%,163%,170%,613%
EPS in Rs,1.76,1.70,1.35,3.21,1.89,2.56,1.79,4.48,1.42,3.37,4.72,12.08,10.14
Raw PDF,,,,,,,,,,,,,
