Metric,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3143,3474,3146,3113,3102,7177,8102,8997,9692,8766,9777,10484,11156
  └─ YOY Sales Growth %,,,,4.93%,-1.31%,,,,,22.14%,20.68%,16.53%,15.10%
Expenses,3128,3454,3124,3077,3006,6767,7639,8439,9176,8445,9225,10049,10710
  └─ Material Cost %,90%,90%,89%,89%,86%,86%,85%,85%,83%,87%,85%,87%,88%
  └─ Employee Cost %,1%,1%,1%,1%,1%,2%,2%,2%,2%,2%,2%,2%,1%
Operating Profit,15,19,23,36,95,410,462,558,516,321,552,434,445
OPM %,0%,1%,1%,1%,3%,6%,6%,6%,5%,4%,6%,4%,4%
Other Income,32,17,28,16,23,25,31,24,53,13,51,27,-112
  └─ Exceptional items,0,0,0,0,0,0,0,0,0,0,0,-30,-169
  └─ Other income normal,32,17,28,16,23,25,31,24,53,13,51,57,57
Interest,35,37,38,43,44,19,20,20,25,24,35,35,36
Depreciation,34,36,34,34,34,57,56,70,85,62,63,62,62
Profit before tax,-21,-37,-21,-25,40,359,417,491,458,249,505,364,236
Tax %,0%,0%,0%,0%,0%,27%,26%,24%,22%,27%,-2%,-63%,-122%
Net Profit,-24,-36,-22,-25,40,263,309,371,359,180,517,593,524
  └─ Profit from Associates,-3,1,-1,0,0,0,0,0,0,0,0,0,0
  └─ Minority share,18,-59,24,20,19,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-30,-169
  └─ Profit excl Excep,-24,-36,-22,-25,40,263,309,371,359,180,517,624,693
  └─ Profit for PE,-6,-95,2,-4,59,263,309,371,359,180,517,624,693
  └─ Profit for EPS,-6,-95,2,-4,59,263,309,371,359,180,517,593,524
  └─ YOY Profit Growth %,,,,-142%,1142%,,,,,-31%,67%,68%,93%
EPS in Rs,-0.06,-0.95,0.02,-0.04,0.58,2.42,2.84,3.42,3.30,1.66,4.75,5.46,4.82
Raw PDF,,,,,,,,,,,,,
