Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,-81,195,2152,691,1339,1417,1093,617,1452,1215,605,478,311
  └─ YOY Sales Growth %,,,,459%,1753%,628%,-49%,-11%,8%,-14%,-45%,-23%,-79%
Interest,-49,21,70,11,-37,10,15,10,18,21,42,69,66
Expenses,-53,44,36,25,54,162,141,-7,188,56,22,123,109
  └─ Material Cost %,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.75%,8.53%
  └─ Employee Cost %,,3.61%,0.38%,1.28%,1.37%,1.08%,0.10%,1.66%,1.45%,0.93%,3.17%,4.41%,7.79%
Financing Profit,22,129,2046,655,1322,1245,937,614,1246,1137,540,286,136
Financing Margin %,-27%,66%,95%,95%,99%,88%,86%,100%,86%,94%,89%,60%,44%
Other Income,1898,61,1,2,18,2,24,3,5,9,4,-0,32
  └─ Exceptional items,1897.41,57.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.90,3.02,0.84,2.22,18.34,1.72,24.18,2.61,5.37,9.15,3.94,-0.34,32.34
Depreciation,2,2,2,2,2,1,2,3,3,3,5,8,14
Profit before tax,1918,188,2045,655,1338,1246,960,614,1248,1144,539,278,154
Tax %,-1%,-10%,5%,8%,-15%,12%,12%,12%,-41%,18%,-42%,42%,63%
Net Profit,1938,195,1940,601,1537,1097,843,539,1763,943,767,161,58
  └─ Profit from Associates,0,-12,0,0,0,0,0,0,0,0,0,0,0
  └─ Minority share,0,0,0,0,0,0,0,0,0,-0,-0,-0,2
  └─ Exceptional items AT,1897,58,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,40,137,1940,601,1537,1097,843,539,1763,943,767,161,58
  └─ Profit for PE,40,137,1940,601,1537,1097,843,539,1763,943,767,161,60
  └─ Profit for EPS,1938,195,1940,601,1537,1097,843,539,1763,943,767,161,60
  └─ YOY Profit Growth %,,,,1259%,3715%,700%,-57%,-10%,15%,-14%,-9%,-70%,-97%
EPS in Rs,22.82,2.29,22.84,7.08,18.10,12.91,9.92,6.35,20.76,11.10,9.03,1.90,0.70
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
