Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,17.98,52.52,34.76,32.29,46.21,32.91,47.02
  └─ YOY Sales Growth %,,,,,157.01%,-37.34%,35.27%
Expenses,15.46,42.40,34.22,31.01,44.25,29.41,40.78
  └─ Material Cost %,8.06%,11.06%,15.77%,11.33%,10.80%,10.82%,6.72%
  └─ Employee Cost %,56.56%,30.20%,44.71%,47.63%,32.42%,51.84%,39.56%
Operating Profit,2.52,10.12,0.54,1.28,1.96,3.50,6.24
OPM %,14.02%,19.27%,1.55%,3.96%,4.24%,10.64%,13.27%
Other Income,0.27,0.42,0.42,0.14,2.85,0.19,0.29
  └─ Other income normal,0.27,0.42,0.42,0.14,2.85,0.19,0.29
Interest,0.98,1.85,1.96,1.49,0.83,0.95,0.97
Depreciation,0.87,1.82,1.03,1.92,0.34,0.35,0.36
Profit before tax,0.94,6.87,-2.03,-1.99,3.64,2.39,5.20
Tax %,11.70%,-22.85%,79.31%,-40.70%,5.49%,-3.35%,4.62%
Net Profit,0.84,8.45,-3.64,-1.18,3.44,2.47,4.96
  └─ Profit excl Excep,1,8,-4,-1,3,2,5
  └─ Profit for PE,1,8,-4,-1,3,2,5
  └─ Profit for EPS,1,8,-4,-1,3,2,5
  └─ YOY Profit Growth %,,,,,310%,-71%,236%
EPS in Rs,0.01,0.12,-0.05,-0.02,0.05,0.04,0.07
Raw PDF,,,,,,,
