Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,36,26,61,67,59,67,66,62,74,82,112,111,133
Expenses,33,24,57,64,55,64,61,58,74,77,106,103,125
  └─ Material Cost %,79%,78%,82%,85%,80%,83%,80%,76%,79%,78%,73%,72%,70%
  └─ Employee Cost %,4%,4%,3%,3%,4%,3%,2%,5%,6%,5%,4%,3%,4%
Operating Profit,3,2,4,3,4,4,5,5,0,4,6,8,8
OPM %,8%,9%,7%,5%,7%,5%,7%,8%,0%,5%,6%,7%,6%
Other Income,-0,0,0,0,0,0,-0,0,5,0,0,0,0
  └─ Exceptional items,-0.13,0.05,0.00,0.00,0.00,0.00,-0.05,0.00,4.73,0.00,0.49,0.00,0.00
Interest,1,2,1,1,2,2,2,3,4,4,3,5,4
Depreciation,0,0,1,1,1,1,1,1,1,1,2,2,2
Profit before tax,1,0,2,1,2,1,2,0,-0,-1,2,1,3
Tax %,21%,24%,38%,32%,26%,26%,41%,63%,-5960%,33%,47%,87%,57%
Net Profit,1,0,1,1,1,1,1,0,3,-2,1,0,1
  └─ Profit from Associates,-0.11,-0.01,0.08,0.01,0.04,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,-0.10,0.04,0.00,0.00,0.00,0.00,-0.03,0.00,4.73,0.00,0.49,0.00,0.00
  └─ Profit excl Excep,0.91,0.32,1.34,0.74,1.27,0.87,1.14,0.11,-1.80,-1.78,0.44,0.19,1.14
  └─ Profit for PE,0.91,0.32,1.34,0.74,1.27,0.87,1.14,0.11,-1.80,-1.78,0.44,0.19,1.14
  └─ Profit for EPS,0.81,0.36,1.34,0.74,1.27,0.87,1.11,0.11,2.93,-1.78,0.93,0.19,1.14
EPS in Rs,1.59,0.71,2.64,1.46,1.97,1.35,1.73,0.16,4.15,-2.52,1.21,0.25,1.49
Raw PDF,,,,,,,,,,,,,
