Metric,Dec 2023,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,70.61,125.52,114.74,119.50,140.65,111.77,70.52,108.03
  └─ YOY Sales Growth %,,,62.50%,,,-10.95%,-38.54%,-9.60%
Expenses,58.54,109.44,97.80,97.91,124.50,95.23,68.01,98.99
  └─ Material Cost %,50%,60%,53%,59%,59%,55%,60%,63%
  └─ Employee Cost %,12%,8%,10%,8%,7%,9%,14%,9%
Operating Profit,12.07,16.08,16.94,21.59,16.15,16.54,2.51,9.04
OPM %,17.09%,12.81%,14.76%,18.07%,11.48%,14.80%,3.56%,8.37%
Other Income,1.23,2.37,1.06,4.43,4.11,1.20,1.64,15.09
  └─ Exceptional items,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00
  └─ Other income normal,1.23,2.37,1.06,4.43,1.25,1.20,1.64,15.09
Interest,-0.28,3.09,-0.49,0.94,0.92,2.93,-8.08,8.45
Depreciation,1.98,2.00,2.20,2.16,2.53,3.05,3.00,2.90
Profit before tax,11.60,13.36,16.29,22.92,16.81,11.76,9.23,12.78
Tax %,28.10%,33.91%,16.08%,29.93%,26.41%,37.16%,15.93%,31.61%
Net Profit,8.34,8.82,13.67,16.07,12.36,7.38,7.76,8.74
  └─ Minority share,0.00,0.00,0.00,0.00,0.11,0.57,0.13,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,2.06,0.00,0.00,0.00
  └─ Profit excl Excep,8.34,8.82,13.67,16.07,10.30,7.38,7.76,8.74
  └─ Profit for PE,8.34,8.82,13.67,16.07,10.41,7.95,7.89,8.74
  └─ Profit for EPS,8.34,8.82,13.67,16.07,12.47,7.95,7.89,8.74
  └─ YOY Profit Growth %,,,63.91%,,,-9.86%,-42.28%,-45.61%
EPS in Rs,9.52,10.07,15.61,18.35,14.24,9.08,9.01,9.98
Raw PDF,,,,,,,,
