Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,4.51,7.63,17.91,9.73,4.44,7.35,15.81,5.56,6.63,11.54,17.55,6.19,5.27
  └─ YOY Sales Growth %,-13.93%,-1.42%,22.67%,37.04%,-1.55%,-3.67%,-11.73%,-42.86%,49.32%,57.01%,11.01%,11.33%,-20.51%
Expenses,4.27,1.82,7.64,9.00,5.39,4.45,6.82,4.80,6.92,6.34,7.22,6.61,7.33
  └─ Material Cost %,-11.53%,-36.96%,-4.19%,46.35%,-1.13%,0.00%,0.00%,0.00%,-3.02%,0.00%,0.00%,0.00%,-3.80%
  └─ Employee Cost %,14.19%,7.99%,4.08%,8.74%,17.34%,9.39%,4.62%,10.07%,17.35%,5.63%,4.73%,14.22%,23.53%
Operating Profit,0.24,5.81,10.27,0.73,-0.95,2.90,8.99,0.76,-0.29,5.20,10.33,-0.42,-2.06
OPM %,5.32%,76.15%,57.34%,7.50%,-21.40%,39.46%,56.86%,13.67%,-4.37%,45.06%,58.86%,-6.79%,-39.09%
Other Income,-6.62,-1.01,0.05,0.30,1.74,0.02,0.11,0.34,0.00,0.01,0.19,1.67,-2.44
  └─ Exceptional items,-6.86,-1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,-2.44
  └─ Other income normal,0.24,0.04,0.05,0.30,1.74,0.02,0.11,0.34,0.00,0.01,0.19,0.00,0.00
Interest,0.43,1.31,1.87,0.66,0.44,0.43,0.56,0.42,0.53,0.27,2.38,0.18,0.10
Depreciation,0.03,2.06,4.43,0.30,0.32,1.04,4.51,0.74,1.09,2.42,3.61,0.84,1.33
Profit before tax,-6.84,1.43,4.02,0.07,0.03,1.45,4.03,-0.06,-1.91,2.52,4.53,0.23,-5.93
Tax %,264.62%,-22.38%,-23.13%,200.00%,-2000.00%,-16.55%,-9.43%,0.00%,127.23%,-2.38%,-1.10%,-56.52%,26.64%
Net Profit,-24.93,1.75,4.96,-0.07,0.63,1.69,4.42,-0.07,-4.34,2.57,4.57,0.36,-7.51
  └─ Minority share,0.05,-0.24,0.07,0.15,0.02,-0.08,-0.01,0.09,0.00,-0.28,0.17,0.06,0.05
  └─ Exceptional items AT,11.23,-1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,-1.80
  └─ Profit excl Excep,-36.16,2.80,4.96,-0.07,0.63,1.69,4.42,-0.07,-4.34,2.57,4.57,-1.31,-5.71
  └─ Profit for PE,-36.09,2.42,5.03,0.08,0.65,1.61,4.41,0.02,-4.34,2.29,4.74,-1.25,-5.67
  └─ Profit for EPS,-24.88,1.51,5.03,0.08,0.65,1.61,4.41,0.02,-4.34,2.29,4.74,0.42,-7.46
  └─ YOY Profit Growth %,-3369.95%,49.14%,30.31%,-42.86%,101.80%,-33.36%,-12.33%,-75.00%,-767.69%,42.24%,7.48%,-6350.00%,-30.69%
EPS in Rs,-1.55,0.09,0.31,0.00,0.04,0.10,0.27,0.00,-0.27,0.14,0.29,0.03,-0.46
Raw PDF,,,,,,,,,,,,,
