Metric,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024
Sales,200,385,296,325,247,441,342,312,218,474,363,240,268
  └─ YOY Sales Growth %,,27.59%,54.66%,103.14%,23.53%,14.73%,15.32%,-4.10%,-11.59%,7.48%,6.30%,-23.04%,22.74%
Expenses,109,193,152,162,131,217,174,163,125,232,188,127,146
  └─ Material Cost %,22.88%,25.10%,23.25%,23.46%,21.28%,25.41%,26.91%,26.82%,24.89%,27.40%,26.33%,24.92%,23.07%
  └─ Employee Cost %,6.19%,4.65%,5.60%,4.00%,5.48%,3.46%,4.34%,4.82%,6.71%,2.90%,3.68%,6.09%,5.40%
Operating Profit,91,191,144,163,115,224,168,148,93,242,175,113,122
OPM %,46%,50%,49%,50%,47%,51%,49%,48%,43%,51%,48%,47%,46%
Other Income,9,11,11,7,10,10,13,15,15,15,24,21,19
  └─ Other income normal,8.93,11.38,11.10,7.11,9.71,9.98,13.44,14.98,15.11,15.47,24.11,21.46,19.24
Interest,7,8,9,8,8,7,8,9,11,11,13,14,14
Depreciation,22,24,27,26,25,25,27,30,32,34,38,37,37
Profit before tax,71,171,120,136,93,202,145,124,65,212,148,83,90
Tax %,25%,25%,26%,26%,25%,26%,25%,26%,25%,26%,22%,25%,26%
Net Profit,53,128,89,101,69,150,109,92,49,158,116,62,67
  └─ Profit excl Excep,53,128,89,101,69,150,109,92,49,158,116,62,67
  └─ Profit for PE,53,128,89,101,69,150,109,92,49,158,116,62,67
  └─ Profit for EPS,53,128,89,101,69,150,109,92,49,158,116,62,67
  └─ YOY Profit Growth %,,24%,86%,123%,30%,18%,23%,-9%,-29%,5%,6%,-32%,37%
EPS in Rs,2.20,5.27,3.65,4.16,2.84,6.19,4.48,3.79,2.01,6.49,4.77,2.57,2.75
Raw PDF,,,,,,,,,,,,,
