Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,45.50,104.06,49.49,48.29,51.35,54.15,67.28,74.27,53.52,55.31
  └─ YOY Sales Growth %,,,,,12.86%,-47.96%,35.95%,53.80%,4.23%,2.14%
Expenses,37.03,68.57,31.85,33.16,32.94,37.64,44.82,50.59,36.03,44.64
  └─ Material Cost %,77%,63%,59%,64%,59%,60%,62%,63%,61%,74%
  └─ Employee Cost %,3%,1%,3%,3%,3%,3%,2%,2%,4%,3%
Operating Profit,8.47,35.49,17.64,15.13,18.41,16.51,22.46,23.68,17.49,10.67
OPM %,18.62%,34.11%,35.64%,31.33%,35.85%,30.49%,33.38%,31.88%,32.68%,19.29%
Other Income,0.50,2.35,0.57,0.16,0.95,3.07,2.54,2.63,2.12,1.90
  └─ Other income normal,0.50,2.35,0.57,0.16,0.95,3.07,2.54,2.63,2.12,1.90
Interest,0.02,0.44,0.05,0.06,0.05,0.20,0.06,0.49,0.25,0.08
Depreciation,0.13,0.13,0.13,0.13,0.13,0.13,0.15,0.14,0.14,0.13
Profit before tax,8.82,37.27,18.03,15.10,19.18,19.25,24.79,25.68,19.22,12.36
Tax %,24.83%,27.48%,27.07%,26.82%,21.95%,28.73%,25.17%,26.29%,25.55%,26.29%
Net Profit,6.63,27.04,13.15,11.05,14.96,13.72,18.55,18.93,14.31,9.11
  └─ Profit excl Excep,6.63,27.04,13.15,11.05,14.96,13.72,18.55,18.93,14.31,9.11
  └─ Profit for PE,6.63,27.04,13.15,11.05,14.96,13.72,18.55,18.93,14.31,9.11
  └─ Profit for EPS,6.63,27.04,13.15,11.05,14.96,13.72,18.55,18.93,14.31,9.11
  └─ YOY Profit Growth %,,,,,125.64%,-49.26%,41.06%,71.31%,-4.34%,-33.60%
EPS in Rs,3.45,14.08,6.85,5.76,7.79,5.14,6.95,7.09,5.36,3.41
Raw PDF,,,,,,,,,,
