Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales,0.96,0.89,0.71,0.91,1.11,1.06,2.02,1.39,1.79,1.28,1.96,1.48,1.80
  └─ YOY Sales Growth %,-27.82%,-19.82%,-16.47%,10.98%,15.62%,19.10%,184.51%,52.75%,61.26%,20.75%,-2.97%,6.47%,0.56%
Expenses,0.51,0.55,0.70,0.69,0.59,0.70,0.89,0.73,0.65,0.77,0.87,0.74,0.73
  └─ Employee Cost %,33.33%,38.20%,53.52%,46.15%,29.73%,39.62%,26.24%,23.74%,18.44%,27.34%,29.59%,24.32%,19.44%
Operating Profit,0.45,0.34,0.01,0.22,0.52,0.36,1.13,0.66,1.14,0.51,1.09,0.74,1.07
OPM %,46.88%,38.20%,1.41%,24.18%,46.85%,33.96%,55.94%,47.48%,63.69%,39.84%,55.61%,50.00%,59.44%
Other Income,0.04,-0.40,0.18,0.02,0.02,0.03,-0.03,0.71,0.01,-0.17,0.03,0.03,0.05
  └─ Exceptional items,0.00,-0.40,0.00,0.00,0.00,0.00,-0.07,0.00,0.00,-0.19,0.00,0.00,0.00
  └─ Other income normal,0.04,0.00,0.18,0.02,0.02,0.03,0.04,0.71,0.01,0.02,0.03,0.03,0.05
Interest,0.00,0.00,0.03,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.00
Depreciation,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Profit before tax,0.46,-0.09,0.14,0.22,0.52,0.36,1.05,1.34,1.12,0.31,1.07,0.74,1.09
Tax %,15.22%,66.67%,28.57%,0.00%,0.00%,11.11%,16.19%,0.00%,1.79%,0.00%,0.00%,0.00%,0.00%
Net Profit,0.39,-0.14,0.09,0.22,0.52,0.32,0.88,1.34,1.11,0.32,1.07,0.74,1.09
  └─ Exceptional items AT,0.00,-0.34,0.00,0.00,0.00,0.00,-0.06,0.00,0.00,-0.19,0.00,0.00,0.00
  └─ Profit excl Excep,0.39,0.20,0.09,0.22,0.52,0.32,0.94,1.34,1.11,0.51,1.07,0.74,1.09
  └─ Profit for PE,0.39,0.20,0.09,0.22,0.52,0.32,0.94,1.34,1.11,0.51,1.07,0.74,1.09
  └─ Profit for EPS,0.39,-0.14,0.09,0.22,0.52,0.32,0.88,1.34,1.11,0.32,1.07,0.74,1.09
  └─ YOY Profit Growth %,-29.09%,-57.45%,-65.38%,29.41%,33.33%,60.00%,944.44%,509.09%,113.46%,59.38%,13.83%,-44.78%,-1.80%
EPS in Rs,0.13,-0.05,0.03,0.07,0.18,0.11,0.30,0.46,0.38,0.11,0.36,0.25,0.37
Raw PDF,,,,,,,,,,,,,
