Metric,Sep 2018,Dec 2018,Mar 2019,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0,0,0,1,4,30,39,44,56,47,60,46,93
  └─ YOY Sales Growth %,-97%,-100%,-100%,,,,,6695%,1380%,57%,55%,4%,66%
Expenses,20,0,1,0,3,25,33,40,46,40,51,39,74
  └─ Material Cost %,91%,,,-22%,62%,61%,81%,89%,72%,80%,82%,80%,73%
  └─ Employee Cost %,218%,,,14%,3%,0%,0%,0%,1%,2%,1%,2%,1%
Operating Profit,-20,0,-1,0,1,5,6,4,10,7,9,7,19
OPM %,-18255%,,,49%,16%,17%,15%,9%,18%,16%,14%,15%,21%
Other Income,1,1,0,0,0,0,2,2,-1,1,1,1,-0
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,-0.01
  └─ Other income normal,1.18,0.79,0.00,0.01,0.03,0.36,1.81,2.37,-1.13,0.99,0.93,0.64,0.00
Interest,0,0,0,0,0,0,0,0,0,0,0,1,0
Depreciation,1,0,1,0,0,0,0,0,-0,0,0,0,0
Profit before tax,-20,1,-1,0,0,5,7,6,9,8,9,6,19
Tax %,0%,0%,-121%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-22%
Net Profit,-20,1,0,0,0,5,7,6,9,8,9,6,23
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,-0,0,0,0,-0
  └─ Profit excl Excep,-20,1,0,0,0,5,7,6,9,8,9,6,23
  └─ Profit for PE,-20,1,0,0,0,5,7,6,9,8,9,6,23
  └─ Profit for EPS,-20,1,0,0,0,5,7,6,9,8,9,6,23
  └─ YOY Profit Growth %,-532%,125%,100%,,,,,4113%,1909%,53%,23%,3%,150%
EPS in Rs,-7.92,0.32,0.12,0.01,0.03,0.30,0.43,0.37,0.52,0.47,0.53,0.38,1.31
Raw PDF,,,,,,,,,,,,,
