Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,969,910,1002,975,1029,1007,1086,1014,1105,1108,1206,1149,1300
  └─ YOY Sales Growth %,10.12%,9.43%,5.64%,3.20%,6.18%,10.68%,8.45%,4.02%,7.40%,9.98%,11.02%,13.26%,17.65%
Expenses,815,751,821,792,838,822,868,813,877,881,954,919,1044
  └─ Material Cost %,45.99%,42.24%,42.69%,41.74%,42.55%,40.49%,42.02%,39.75%,42.34%,39.81%,40.40%,39.39%,41.01%
  └─ Employee Cost %,18.32%,20.45%,19.29%,19.92%,19.34%,20.75%,18.95%,20.56%,18.92%,20.27%,19.40%,20.28%,19.59%
Operating Profit,155,159,181,183,191,186,219,202,228,227,252,230,256
OPM %,16%,17%,18%,19%,19%,18%,20%,20%,21%,20%,21%,20%,20%
Other Income,27,11,11,24,-44,6,14,13,11,8,12,2,-7
  └─ Exceptional items,0.00,0.00,0.00,0.00,-60.50,0.00,0.00,0.00,-3.60,0.00,0.00,-12.00,-16.20
  └─ Other income normal,27.40,10.70,10.70,24.50,17.00,6.50,14.00,12.70,14.60,8.20,12.20,14.50,9.00
Interest,21,24,31,29,32,29,29,27,28,28,28,29,29
Depreciation,79,80,84,84,85,84,85,86,88,90,94,97,104
Profit before tax,82,66,78,94,30,80,118,100,123,117,141,107,116
Tax %,-3%,16%,33%,7%,50%,17%,25%,6%,6%,14%,25%,22%,11%
Net Profit,85,56,52,87,15,66,88,94,116,101,106,83,103
  └─ Minority share,-1,-1,-2,-1,7,-2,-1,-1,-1,-1,-2,-1,-0
  └─ Exceptional items AT,0,0,0,0,-37,0,0,0,-3,0,0,-9,-14
  └─ Profit excl Excep,85,56,52,87,52,66,88,94,119,101,106,92,117
  └─ Profit for PE,84,54,50,86,59,64,87,94,118,100,104,91,117
  └─ Profit for EPS,84,54,50,86,22,64,87,94,114,100,104,82,103
  └─ YOY Profit Growth %,73%,59%,9%,37%,-30%,18%,72%,9%,99%,56%,20%,-3%,-1%
EPS in Rs,2.65,1.71,1.59,2.71,0.70,2.02,2.73,2.93,3.58,3.13,3.26,2.55,3.21
Raw PDF,,,,,,,,,,,,,
