Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,295,262,275,304,367,294,281,375,483,300,427,331,445
  └─ YOY Sales Growth %,38.83%,24.30%,6.42%,26.20%,24.65%,12.27%,2.23%,23.46%,31.57%,2.10%,51.75%,-11.83%,-8.00%
Expenses,265,238,250,266,331,266,256,343,456,270,385,304,431
  └─ Material Cost %,-17.66%,-4.21%,-2.00%,-12.94%,1.58%,-14.44%,-1.83%,9.58%,5.37%,-3.73%,-6.71%,-11.65%,4.89%
  └─ Employee Cost %,4.36%,4.70%,4.80%,4.28%,3.81%,4.31%,4.55%,3.71%,3.35%,5.31%,4.15%,5.20%,4.19%
Operating Profit,30,24,25,37,36,28,26,32,27,30,42,26,14
OPM %,10%,9%,9%,12%,10%,10%,9%,8%,6%,10%,10%,8%,3%
Other Income,1,0,0,0,2,1,2,1,-4,2,2,2,4
  └─ Exceptional items,-0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.56,0.00,0.00,0.00,0.00
  └─ Other income normal,1.63,0.49,0.31,0.46,2.21,0.90,1.74,0.71,2.65,1.64,1.61,2.30,3.57
Interest,9,8,11,12,13,12,12,13,14,14,13,14,14
Depreciation,2,2,2,3,3,3,3,3,5,6,7,6,6
Profit before tax,19,14,12,23,23,14,12,16,5,12,24,8,-3
Tax %,23%,26%,27%,28%,26%,26%,22%,27%,206%,25%,32%,18%,365%
Net Profit,15,10,9,17,17,10,10,12,-5,9,16,7,-14
  └─ Minority share,-0.07,-0.01,0.01,0.00,0.00,0.00,-0.08,0.12,-0.07,-0.28,-0.21,-1.10,1.18
  └─ Exceptional items AT,-0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.62,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,15.22,10.15,9.05,16.76,16.97,10.49,9.68,11.94,-8.85,8.79,15.99,6.52,-13.67
  └─ Profit for PE,15.15,10.14,9.06,16.76,16.97,10.49,9.60,12.06,-8.92,8.51,15.78,5.42,-12.49
  └─ Profit for EPS,14.66,10.14,9.06,16.76,16.97,10.49,9.60,12.06,-5.30,8.51,15.78,5.42,-12.49
  └─ YOY Profit Growth %,110.38%,38.34%,21.77%,56.20%,12.03%,3.45%,5.96%,-28.04%,-152.56%,-18.88%,64.38%,-55.06%,-40.02%
EPS in Rs,0.09,0.06,0.06,0.11,0.11,0.06,0.06,0.07,-0.03,0.05,0.09,0.03,-0.07
Raw PDF,,,,,,,,,,,,,
