Metric,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Sep 2024
  └─ Material Cost %,79%,79%,77%,78%,88%
  └─ Employee Cost %,4%,4%,3%,9%,3%
  └─ Exceptional items,-0.70,-0.22,0.73,0.00,0.00
  └─ Other income normal,0.04,0.04,0.18,0.86,0.37
  └─ Exceptional items AT,-0.69,-0.21,0.57,0.00,0.00
  └─ Profit excl Excep,0.24,-0.46,0.40,0.02,0.33
  └─ Profit for PE,0.24,-0.46,0.40,0.02,0.33
  └─ Profit for EPS,-0.45,-0.67,0.97,0.02,0.33
