Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,46,49,49,57,53,51,58,75,63,71,85,95
  └─ YOY Sales Growth %,,,,,14.64%,3.91%,17.51%,31.20%,18.64%,39.39%,46.68%,25.56%
Expenses,38,40,42,44,42,42,50,62,53,60,71,78
  └─ Material Cost %,40.36%,44.10%,42.82%,36.78%,41.60%,36.87%,42.76%,43.87%,38.54%,38.90%,40.83%,42.52%
  └─ Employee Cost %,14.64%,11.85%,12.45%,10.42%,12.56%,13.68%,13.66%,9.61%,12.52%,11.96%,11.47%,9.50%
Operating Profit,9,9,7,14,11,9,8,13,10,11,15,17
OPM %,18%,19%,15%,24%,20%,18%,13%,17%,15%,16%,17%,18%
Other Income,0,0,1,-2,1,0,2,1,1,1,0,2
  └─ Exceptional items,0.00,-0.48,0.63,-2.47,-0.05,-0.09,-0.06,-0.06,-0.06,-0.07,-1.05,0.05
  └─ Other income normal,0.35,0.63,0.43,0.43,0.63,0.09,2.17,1.49,1.37,1.36,1.32,1.58
Interest,2,1,2,2,1,1,1,1,1,1,1,1
Depreciation,2,2,2,2,2,2,2,2,2,2,3,3
Profit before tax,6,6,5,8,8,6,7,11,8,10,11,15
Tax %,20%,17%,-14%,20%,24%,17%,27%,11%,20%,12%,25%,16%
Net Profit,5,5,6,7,6,5,5,10,7,8,8,12
  └─ Minority share,0.00,0.00,0.13,0.21,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.01
  └─ Exceptional items AT,0.00,-0.39,0.39,-1.87,-0.04,-0.07,-0.04,-0.05,-0.05,-0.06,-0.77,0.04
  └─ Profit excl Excep,4.54,5.61,5.38,8.51,6.34,5.31,5.32,10.04,6.58,8.45,9.07,12.19
  └─ Profit for PE,4.54,5.61,5.51,8.72,6.34,5.32,5.33,10.05,6.59,8.45,9.08,12.20
  └─ Profit for EPS,4.54,5.22,5.90,6.85,6.30,5.25,5.29,10.00,6.54,8.39,8.31,12.24
  └─ YOY Profit Growth %,,,,,39.65%,-5.17%,-3.27%,15.25%,3.94%,58.83%,70.36%,21.39%
EPS in Rs,17.96,5.16,5.83,6.77,6.23,4.14,4.18,7.88,5.14,6.58,6.52,9.56
Raw PDF,,,,,,,,,,,,
