Metric,Mar 2025,Dec 2025,Mar 2026
Sales,52.25,11.94,47.80
  └─ YOY Sales Growth %,,,-8.52%
Expenses,41.29,20.36,45.72
  └─ Material Cost %,75%,156%,91%
  └─ Employee Cost %,2%,9%,2%
Operating Profit,10.96,-8.42,2.08
OPM %,20.98%,-70.52%,4.35%
Other Income,0.74,1.90,1.28
  └─ Exceptional items,0.00,0.00,-0.85
  └─ Other income normal,0.74,1.90,2.13
Interest,0.07,0.19,0.19
Depreciation,0.38,0.60,0.60
Profit before tax,11.25,-7.31,2.57
Tax %,5.96%,-2.60%,-12.06%
Net Profit,10.58,-7.12,2.88
  └─ Exceptional items AT,0,0,-1
  └─ Profit excl Excep,11,-7,4
  └─ Profit for PE,11,-7,4
  └─ Profit for EPS,11,-7,3
  └─ YOY Profit Growth %,,,-65%
EPS in Rs,11.77,-7.51,3.04
Raw PDF,,,
