Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1205,1119,1021,1061,1343,1102,1174,1206,1612,1233,1208,1239,1421
  └─ YOY Sales Growth %,8.40%,24.14%,23.00%,11.14%,11.46%,-1.52%,14.98%,13.62%,20.00%,11.96%,2.91%,2.81%,-11.81%
Expenses,1036,948,881,919,1106,933,1012,1022,1394,1068,1050,1095,1206
  └─ Material Cost %,75%,74%,74%,71%,71%,68%,73%,71%,76%,75%,74%,75%,71%
  └─ Employee Cost %,7%,8%,9%,8%,6%,8%,8%,8%,7%,7%,8%,8%,8%
Operating Profit,169,171,140,142,238,169,162,184,218,165,159,145,215
OPM %,14%,15%,14%,13%,18%,15%,14%,15%,14%,13%,13%,12%,15%
Other Income,35,12,24,52,75,25,42,10,-62,39,32,-14,-53
  └─ Exceptional items,10,-6,-1,37,43,0,-15,-50,-87,0,-31,-43,-88
  └─ Other income normal,25,18,25,15,31,25,57,60,25,39,63,29,35
Interest,104,88,92,89,93,84,79,80,79,73,76,68,79
Depreciation,21,22,23,23,29,26,24,24,26,25,26,26,26
Profit before tax,80,72,49,82,190,83,101,89,52,105,89,37,57
Tax %,-0%,42%,22%,16%,26%,43%,27%,10%,33%,24%,27%,-153%,44%
Net Profit,82,43,38,69,140,55,73,82,38,81,73,72,44
  └─ Profit from Associates,2,1,-0,0,-1,7,0,1,3,1,8,-22,12
  └─ Minority share,-0,-5,0,0,-15,-1,-0,-2,-2,-3,-2,-1,-2
  └─ Exceptional items AT,8,-4,-1,27,32,0,-7,-44,-64,0,-22,-43,-51
  └─ Profit excl Excep,74,47,38,42,108,55,81,125,102,81,95,115,95
  └─ Profit for PE,74,42,38,42,97,53,80,122,96,78,93,113,90
  └─ Profit for EPS,82,39,38,69,125,53,73,80,36,78,71,70,42
  └─ YOY Profit Growth %,52%,32%,70%,50%,31%,26%,111%,189%,-0%,46%,15%,-8%,-6%
EPS in Rs,0.90,0.43,0.41,0.76,1.38,0.54,0.74,0.80,0.36,0.78,0.72,0.71,0.42
Raw PDF,,,,,,,,,,,,,
