Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,22.42,17.59,31.39,33.95,42.76,54.42,48.85,33.89,31.12,31.67,55.60,50.53,43.32
  └─ YOY Sales Growth %,-44.78%,-52.61%,-8.38%,28.06%,90.72%,209.38%,55.62%,-0.18%,-27.22%,-41.80%,13.82%,49.10%,39.20%
Expenses,16.64,13.90,26.55,31.71,36.43,46.54,41.29,28.52,26.06,25.60,46.48,41.52,35.87
  └─ Material Cost %,49%,51%,63%,65%,64%,67%,64%,61%,58%,62%,65%,64%,64%
  └─ Employee Cost %,12%,17%,10%,8%,8%,7%,7%,10%,13%,11%,7%,6%,6%
Operating Profit,5.78,3.69,4.84,2.24,6.33,7.88,7.56,5.37,5.06,6.07,9.12,9.01,7.45
OPM %,25.78%,20.98%,15.42%,6.60%,14.80%,14.48%,15.48%,15.85%,16.26%,19.17%,16.40%,17.83%,17.20%
Other Income,-0.05,0.14,0.75,3.71,0.27,0.23,0.09,0.15,1.27,0.32,1.18,0.60,1.20
  └─ Other income normal,-0.05,0.14,0.75,3.71,0.27,0.23,0.09,0.15,1.27,0.32,1.18,0.60,1.20
Interest,0.05,0.45,0.74,1.22,0.58,0.60,0.30,0.64,1.21,1.13,1.01,0.88,0.54
Depreciation,1.42,1.22,1.27,1.24,1.46,1.29,1.16,1.27,1.26,1.11,1.12,1.15,1.16
Profit before tax,4.26,2.16,3.58,3.49,4.56,6.22,6.19,3.61,3.86,4.15,8.17,7.58,6.95
Tax %,32.86%,29.63%,35.47%,30.37%,31.80%,30.06%,33.28%,26.59%,-0.78%,28.67%,29.62%,27.84%,31.22%
Net Profit,2.85,1.53,2.31,2.43,3.12,4.34,4.14,2.65,3.89,2.96,5.75,5.47,4.79
  └─ Profit excl Excep,2.85,1.53,2.31,2.43,3.12,4.34,4.14,2.65,3.89,2.96,5.75,5.47,4.79
  └─ Profit for PE,2.85,1.53,2.31,2.43,3.12,4.34,4.14,2.65,3.89,2.96,5.75,5.47,4.79
  └─ Profit for EPS,2.85,1.53,2.31,2.43,3.12,4.34,4.14,2.65,3.89,2.96,5.75,5.47,4.79
  └─ YOY Profit Growth %,-60.25%,-51.43%,4.52%,16.83%,9.47%,183.66%,79.22%,9.05%,24.68%,-31.80%,38.89%,106.42%,23.14%
EPS in Rs,1.40,0.75,1.14,1.20,1.54,2.14,2.04,1.31,1.92,1.46,2.83,2.69,2.36
Raw PDF,,,,,,,,,,,,,
