Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,28.97,34.48,32.62,34.53,34.89,37.93
Expenses,26.95,31.55,30.58,32.22,32.25,35.29
  └─ Employee Cost %,72%,59%,76%,80%,71%,62%
Operating Profit,2.02,2.93,2.04,2.31,2.64,2.64
OPM %,6.97%,8.50%,6.25%,6.69%,7.57%,6.96%
Other Income,0.18,0.25,0.34,0.24,0.31,0.33
  └─ Other income normal,0.18,0.25,0.34,0.24,0.31,0.33
Interest,1.06,1.13,1.04,0.47,1.45,1.12
Depreciation,0.11,0.19,0.32,0.53,0.45,0.46
Profit before tax,1.03,1.86,1.02,1.55,1.05,1.39
Tax %,-4.85%,16.13%,12.75%,35.48%,8.57%,43.17%
Net Profit,1.09,1.56,0.89,0.99,0.95,0.79
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,-0.02
  └─ Profit excl Excep,1.09,1.56,0.89,0.99,0.95,0.79
  └─ Profit for PE,1.09,1.56,0.89,0.99,0.95,0.77
  └─ Profit for EPS,1.09,1.56,0.89,0.99,0.95,0.77
EPS in Rs,1.82,1.82,1.04,1.15,1.11,0.90
Raw PDF,,,,,,
