Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,355,357,288,181,190,231,335,203
  └─ YOY Sales Growth %,,,,,-46.46%,-35.27%,16.48%,12.38%
Expenses,335,331,266,176,186,224,312,198
  └─ Material Cost %,40.72%,53.04%,14.78%,15.13%,18.75%,40.27%,48.02%,25.24%
  └─ Employee Cost %,11.81%,11.72%,16.04%,23.69%,20.21%,16.38%,13.16%,17.06%
Operating Profit,20,26,21,5,4,6,23,5
OPM %,6%,7%,7%,3%,2%,3%,7%,2%
Other Income,1,5,2,1,4,1,-3,2
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,-4.96,-0.16
  └─ Other income normal,1.26,5.30,1.89,0.71,4.07,1.15,2.45,1.68
Interest,15,22,28,23,30,28,29,29
Depreciation,4,4,4,3,3,4,3,27
Profit before tax,2,5,-9,-21,-25,-25,-12,-50
Tax %,44%,5%,92%,-0%,-12%,-22%,-9%,-6%
Net Profit,1,5,-17,-21,-22,-19,-11,-47
  └─ Exceptional items AT,0,0,0,0,0,0,-3,-0
  └─ Profit excl Excep,1,5,-17,-21,-22,-19,-8,-47
  └─ Profit for PE,1,5,-17,-21,-22,-19,-8,-47
  └─ Profit for EPS,1,5,-17,-21,-22,-19,-11,-47
  └─ YOY Profit Growth %,,,,,-2365%,-482%,55%,-122%
EPS in Rs,198.00,1010.00,-3396.00,,-0.46,-0.40,-0.22,-0.96
Raw PDF,,,,,,,,
