Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1.05,2.04,1.84,2.05,1.79,3.81,8.04,15.94
  └─ YOY Sales Growth %,,,,,70%,87%,337%,678%
Expenses,0.79,1.58,1.49,1.61,1.35,3.30,8.17,14.82
  └─ Material Cost %,-35%,-58%,-61%,-130%,-67%,4%,83%,60%
  └─ Employee Cost %,12%,11%,11%,18%,15%,10%,6%,4%
Operating Profit,0.26,0.46,0.35,0.44,0.44,0.51,-0.13,1.12
OPM %,24.76%,22.55%,19.02%,21.46%,24.58%,13.39%,-1.62%,7.03%
Other Income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
  └─ Other income normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Interest,0.01,0.07,0.00,0.01,0.06,0.00,0.00,0.01
Depreciation,0.15,0.20,0.20,0.23,0.24,0.24,0.15,0.07
Profit before tax,0.10,0.19,0.15,0.20,0.14,0.27,-0.28,1.06
Tax %,0.00%,0.00%,0.00%,85.00%,0.00%,0.00%,0.00%,35.85%
Net Profit,0.10,0.19,0.15,0.03,0.14,0.27,-0.27,0.68
  └─ Profit excl Excep,0,0,0,0,0,0,-0,1
  └─ Profit for PE,0,0,0,0,0,0,-0,1
  └─ Profit for EPS,0,0,0,0,0,0,-0,1
  └─ YOY Profit Growth %,,,,,40%,42%,-280%,2167%
EPS in Rs,0.17,0.32,0.18,0.03,0.15,0.27,-0.25,0.63
Raw PDF,,,,,,,,
