Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,82.35,76.49,84.92,93.09,76.17,54.74,56.64,63.61,58.75,50.34,50.19,61.88,43.43
  └─ YOY Sales Growth %,,-8.00%,-21.21%,,-7.50%,-28.44%,-33.30%,-31.67%,-22.87%,-8.04%,-11.39%,-2.72%,-26.08%
Expenses,62.84,67.24,77.44,81.60,64.92,45.71,48.31,50.51,62.96,45.50,46.52,56.70,42.30
  └─ Material Cost %,61%,72%,72%,70%,61%,61%,56%,54%,75%,67%,60%,68%,54%
  └─ Employee Cost %,6%,6%,7%,6%,9%,10%,10%,8%,10%,9%,11%,8%,13%
Operating Profit,19.51,9.25,7.48,11.49,11.25,9.03,8.33,13.10,-4.21,4.84,3.67,5.18,1.13
OPM %,23.69%,12.09%,8.81%,12.34%,14.77%,16.50%,14.71%,20.59%,-7.17%,9.61%,7.31%,8.37%,2.60%
Other Income,1.90,0.38,1.41,1.07,1.45,1.98,3.49,0.73,1.66,2.57,1.51,0.65,2.83
  └─ Other income normal,1.90,0.38,1.41,1.07,1.45,1.98,3.49,0.73,1.66,2.57,1.51,0.65,2.83
Interest,1.29,0.66,0.85,0.78,1.38,0.73,0.80,1.18,2.02,1.21,0.83,1.13,1.20
Depreciation,2.11,2.16,2.24,2.40,2.58,2.70,2.55,2.77,2.88,2.83,2.88,2.74,-1.16
Profit before tax,18.01,6.81,5.80,9.38,8.74,7.58,8.47,9.88,-7.45,3.37,1.47,1.96,3.92
Tax %,29.65%,29.22%,27.07%,28.25%,30.55%,24.80%,23.73%,28.64%,-20.54%,18.69%,43.54%,30.10%,35.97%
Net Profit,12.67,4.81,4.23,6.74,6.07,5.70,6.47,7.06,-5.92,2.74,0.83,1.38,2.52
  └─ Profit excl Excep,13,5,4,7,6,6,6,7,-6,3,1,1,3
  └─ Profit for PE,13,5,4,7,6,6,6,7,-6,3,1,1,3
  └─ Profit for EPS,13,5,4,7,6,6,6,7,-6,3,1,1,3
  └─ YOY Profit Growth %,,134%,129%,,-52%,18%,53%,5%,-198%,-52%,-87%,-80%,143%
EPS in Rs,6.90,2.62,2.30,3.67,3.31,3.10,3.52,3.84,-3.22,1.49,0.45,0.75,1.37
Raw PDF,,,,,,,,,,,,,
