Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1784,1965,2138,1942,1841,2038,2343,2174
  └─ YOY Sales Growth %,,,,,3.14%,3.71%,9.58%,11.95%
Expenses,1506,1684,1805,1633,1577,1721,1931,1822
  └─ Material Cost %,41.14%,43.56%,41.11%,41.35%,37.40%,42.26%,41.37%,40.50%
  └─ Employee Cost %,12.15%,11.65%,11.30%,11.90%,12.74%,10.81%,10.51%,11.05%
Operating Profit,279,281,333,309,263,317,412,352
OPM %,16%,14%,16%,16%,14%,16%,18%,16%
Other Income,14,-78,22,21,23,21,-22,15
  └─ Exceptional items,0.00,-98.33,0.00,0.00,0.00,0.00,-41.31,-7.72
  └─ Other income normal,14.09,20.36,22.13,21.13,22.53,21.12,19.05,22.35
Interest,97,109,96,89,85,98,95,86
Depreciation,162,175,176,188,173,209,204,210
Profit before tax,33,-81,83,52,28,31,91,70
Tax %,31%,-27%,27%,26%,15%,25%,24%,23%
Net Profit,23,-59,60,38,24,23,69,55
  └─ Exceptional items AT,0,-98,0,0,0,0,-32,-6
  └─ Profit excl Excep,23,40,60,38,24,23,101,60
  └─ Profit for PE,23,40,60,38,24,23,101,60
  └─ Profit for EPS,23,-59,60,38,24,23,69,55
  └─ YOY Profit Growth %,,,,,5%,-41%,67%,58%
EPS in Rs,,,,,0.20,0.19,0.57,0.45
Raw PDF,,,,,,,,
