Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,6.43,6.73,5.34,5.66,13.28
  └─ YOY Sales Growth %,,,,-12%,97%
Interest,2.07,2.46,2.75,3.03,3.06
Expenses,1.45,2.39,1.42,1.13,14.68
  └─ Material Cost %,0%,0%,0%,0%,66%
  └─ Employee Cost %,9%,7%,11%,11%,5%
Financing Profit,2.91,1.88,1.17,1.50,-4.46
Financing Margin %,45.26%,27.93%,21.91%,26.50%,-33.58%
Other Income,0.04,0.00,1.98,0.05,0.40
  └─ Other income normal,0.04,-0.00,1.98,0.05,0.40
Depreciation,0.01,0.25,0.19,0.18,0.17
Profit before tax,2.94,1.63,2.96,1.37,-4.23
Tax %,24.15%,18.40%,22.30%,24.82%,0.00%
Net Profit,2.22,1.33,2.29,1.02,-4.23
  └─ Profit excl Excep,2,1,2,1,-4
  └─ Profit for PE,2,1,2,1,-4
  └─ Profit for EPS,2,1,2,1,-4
  └─ YOY Profit Growth %,,,,-54%,-418%
EPS in Rs,0.17,0.10,0.18,0.08,-0.33
Gross NPA %,,,,,
Net NPA %,,,,,
Raw PDF,,,,,
