Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,124,141,130,137,122,154,137,139,129,138
  └─ YOY Sales Growth %,,,,,-1.45%,9.33%,5.28%,1.30%,5.84%,-10.56%
Expenses,110,124,116,121,108,135,124,123,116,120
  └─ Material Cost %,60%,58%,60%,60%,60%,62%,61%,61%,61%,59%
  └─ Employee Cost %,15%,15%,16%,15%,15%,13%,15%,16%,17%,14%
Operating Profit,14,17,14,16,15,19,13,16,13,18
OPM %,11%,12%,11%,12%,12%,12%,10%,11%,10%,13%
Other Income,1,3,1,0,1,2,1,2,2,3
  └─ Other income normal,0.71,3.27,1.34,0.00,1.38,1.98,1.21,2.29,2.22,2.57
Interest,1,1,1,1,1,1,1,1,1,1
Depreciation,4,4,4,4,4,4,4,4,4,4
Profit before tax,10,16,11,12,11,17,10,13,10,16
Tax %,25%,25%,25%,25%,25%,28%,25%,25%,26%,27%
Net Profit,8,12,8,9,9,12,7,8,7,10
  └─ Profit from Associates,0.00,0.00,0.01,-0.02,0.01,-0.24,-0.30,-1.68,-0.83,-0.95
  └─ Minority share,-0.06,-0.12,0.05,-0.02,0.08,0.19,-0.02,0.03,-0.14,-0.03
  └─ Profit excl Excep,7.62,11.67,8.38,8.81,8.64,11.92,7.07,8.43,6.91,10.49
  └─ Profit for PE,7.56,11.55,8.43,8.79,8.72,12.11,7.05,8.46,6.77,10.46
  └─ Profit for EPS,7.56,11.55,8.43,8.79,8.72,12.11,7.05,8.46,6.77,10.46
  └─ YOY Profit Growth %,,,,,15.34%,4.85%,-16.37%,-3.75%,-22.36%,-13.63%
EPS in Rs,1.27,1.94,1.42,1.48,1.47,2.04,1.19,1.42,1.14,1.76
Raw PDF,,,,,,,,,,
