Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,54,55,70,56,65,71,81
  └─ YOY Sales Growth %,,,,,20.07%,29.45%,16.08%
Expenses,40,37,42,46,47,51,57
  └─ Employee Cost %,57.22%,49.37%,42.53%,60.89%,52.22%,50.16%,44.02%
Operating Profit,14,18,28,10,18,20,25
OPM %,26%,33%,41%,18%,27%,28%,30%
Other Income,4,4,5,4,4,1,5
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-4.07,-0.67
  └─ Other income normal,3.55,3.71,5.33,4.42,4.02,4.64,5.53
Interest,1,1,1,1,1,1,1
Depreciation,6,6,6,6,6,6,6
Profit before tax,11,15,27,8,14,13,23
Tax %,16%,36%,25%,23%,26%,23%,27%
Net Profit,9,10,20,6,11,10,17
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,-2.71,-0.49
  └─ Profit excl Excep,8.94,9.56,20.48,5.87,10.61,13.01,17.09
  └─ Profit for PE,8.94,9.56,20.48,5.87,10.61,13.01,17.09
  └─ Profit for EPS,8.94,9.56,20.48,5.87,10.61,10.30,16.60
  └─ YOY Profit Growth %,,,,,18.68%,36.09%,-16.55%
EPS in Rs,54.49,0.96,2.05,0.59,1.06,0.89,1.44
Raw PDF,,,,,,,
