Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,225,230,212,231,179,236,217,231
  └─ YOY Sales Growth %,,,,,-20.41%,2.27%,2.29%,0.07%
Expenses,199,201,184,208,181,213,193,205
  └─ Material Cost %,55%,52%,52%,56%,58%,55%,53%,52%
  └─ Employee Cost %,7%,7%,8%,8%,9%,9%,9%,9%
Operating Profit,26,30,27,23,-2,22,23,26
OPM %,11%,13%,13%,10%,-1%,10%,11%,11%
Other Income,3,1,3,7,0,1,1,4
  └─ Exceptional items,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
  └─ Other income normal,3.38,1.08,3.24,4.78,0.44,0.63,0.80,3.68
Interest,5,8,8,7,8,7,8,8
Depreciation,7,8,8,8,8,9,9,9
Profit before tax,17,15,15,15,-19,8,7,14
Tax %,25%,26%,26%,16%,-24%,32%,27%,26%
Net Profit,12,11,11,13,-14,5,5,10
  └─ Minority share,-0.04,0.10,0.01,0.14,0.09,0.25,0.10,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,12.39,11.39,11.49,10.93,-14.07,5.13,5.20,10.12
  └─ Profit for PE,12.35,11.49,11.50,11.07,-13.98,5.38,5.30,10.12
  └─ Profit for EPS,12.35,11.49,11.50,12.74,-13.98,5.38,5.30,10.12
  └─ YOY Profit Growth %,,,,,-213.20%,-53.18%,-53.91%,-8.58%
EPS in Rs,0.46,0.42,0.42,0.44,-0.48,0.18,0.18,0.34
Raw PDF,,,,,,,,
