Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,13.39,13.18,13.62,16.24,13.36,16.27,14.95,18.45,15.77,18.64,18.46,18.94
  └─ YOY Sales Growth %,,,,,-0.22%,23.44%,9.77%,13.61%,18.04%,14.57%,23.48%,2.66%
Expenses,8.43,8.77,9.14,10.24,8.84,10.46,9.74,11.91,10.46,11.96,12.66,12.03
  └─ Material Cost %,25.69%,26.25%,22.25%,22.41%,21.03%,22.80%,21.94%,13.28%,22.51%,25.38%,20.31%,20.86%
  └─ Employee Cost %,17.92%,18.13%,18.50%,15.83%,20.06%,17.76%,19.33%,15.66%,19.40%,17.60%,18.80%,18.11%
Operating Profit,4.96,4.41,4.48,6.00,4.52,5.81,5.21,6.54,5.31,6.68,5.80,6.91
OPM %,37.04%,33.46%,32.89%,36.95%,33.83%,35.71%,34.85%,35.45%,33.67%,35.84%,31.42%,36.48%
Other Income,0.61,0.74,0.68,0.84,0.86,1.04,1.09,1.08,1.17,1.19,1.15,1.41
  └─ Other income normal,0.61,0.74,0.68,0.84,0.86,1.04,1.09,1.08,1.17,1.19,1.15,1.41
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.17,0.22,0.42,0.46,0.48,0.47,0.48,0.47,0.49,0.50,0.51,0.51
Profit before tax,5.40,4.93,4.74,6.38,4.90,6.38,5.82,7.15,5.99,7.37,6.44,7.81
Tax %,24.26%,26.17%,23.21%,25.08%,25.10%,24.61%,22.16%,28.11%,26.38%,24.83%,26.71%,25.48%
Net Profit,4.08,3.64,3.64,4.77,3.67,4.82,4.53,5.14,4.41,5.54,4.72,5.82
  └─ Profit excl Excep,4.08,3.64,3.64,4.77,3.67,4.82,4.53,5.14,4.41,5.54,4.72,5.82
  └─ Profit for PE,4.08,3.64,3.64,4.77,3.67,4.82,4.53,5.14,4.41,5.54,4.72,5.82
  └─ Profit for EPS,4.08,3.64,3.64,4.77,3.67,4.82,4.53,5.14,4.41,5.54,4.72,5.82
  └─ YOY Profit Growth %,,,,,-10.05%,32.42%,24.45%,7.76%,20.16%,14.94%,4.19%,13.23%
EPS in Rs,3.40,3.03,3.03,3.97,3.06,4.02,3.77,4.28,3.67,4.62,3.93,4.85
Raw PDF,,,,,,,,,,,,
