Metric,Jun 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,78.41,71.68,75.43,79.78,92.49,91.15,85.22,86.25,77.55,98.19
  └─ YOY Sales Growth %,,,-3.80%,,,27.16%,12.98%,8.11%,-16.15%,7.72%
Expenses,75.33,73.88,73.08,77.25,87.71,88.71,83.21,86.10,76.82,100.02
  └─ Material Cost %,0.00%,0.00%,0.00%,0.00%,0.00%,12.72%,-0.02%,0.00%,7.54%,4.49%
  └─ Employee Cost %,1.42%,2.05%,1.48%,1.32%,1.15%,1.34%,1.27%,1.41%,1.83%,1.87%
Operating Profit,3.08,-2.20,2.35,2.53,4.78,2.44,2.01,0.15,0.73,-1.83
OPM %,3.93%,-3.07%,3.12%,3.17%,5.17%,2.68%,2.36%,0.17%,0.94%,-1.86%
Other Income,0.55,1.33,0.45,1.25,-0.60,-0.45,3.34,0.67,-0.16,0.22
  └─ Other income normal,0.55,1.33,0.45,1.25,-0.60,-0.45,3.34,0.67,-0.16,0.22
Interest,0.11,0.42,0.42,0.75,1.05,1.67,1.60,1.31,1.31,1.57
Depreciation,0.58,0.78,1.10,1.47,1.77,0.92,1.38,1.43,1.54,2.14
Profit before tax,2.94,-2.07,1.28,1.56,1.36,-0.60,2.37,-1.92,-2.28,-5.32
Tax %,22.11%,-7.25%,21.09%,25.00%,41.18%,11.67%,21.10%,11.98%,4.39%,-3.01%
Net Profit,2.29,-1.92,1.02,1.17,0.80,-0.67,1.87,-2.15,-2.39,-5.16
  └─ Profit excl Excep,2,-2,1,1,1,-1,2,-2,-2,-5
  └─ Profit for PE,2,-2,1,1,1,-1,2,-2,-2,-5
  └─ Profit for EPS,2,-2,1,1,1,-1,2,-2,-2,-5
  └─ YOY Profit Growth %,,,-55%,,,65%,83%,-284%,-399%,-670%
EPS in Rs,1.09,-0.91,0.48,0.55,0.38,-0.32,0.89,-1.02,-1.13,-2.45
Raw PDF,,,,,,,,,,
