Metric,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales,65.21,94.73,84.31,54.80,69.65,119.18,97.26,67.51,70.35,117.97,110.71,67.75,74.93
  └─ YOY Sales Growth %,,,,-17.64%,6.81%,25.81%,15.36%,23.19%,1.01%,-1.02%,13.83%,0.36%,6.51%
Expenses,54.03,61.21,72.27,66.47,57.45,71.83,91.57,79.85,62.87,82.94,102.58,80.29,66.93
  └─ Material Cost %,11%,11%,33%,52%,8%,10%,41%,55%,14%,20%,44%,57%,10%
  └─ Employee Cost %,50%,38%,37%,45%,51%,32%,36%,45%,52%,34%,34%,42%,56%
Operating Profit,11.18,33.52,12.04,-11.67,12.20,47.35,5.69,-12.34,7.48,35.03,8.13,-12.54,8.00
OPM %,17.14%,35.38%,14.28%,-21.30%,17.52%,39.73%,5.85%,-18.28%,10.63%,29.69%,7.34%,-18.51%,10.68%
Other Income,7.21,0.74,0.51,2.39,0.48,1.36,0.68,1.33,0.95,0.94,1.43,1.86,1.89
  └─ Exceptional items,6.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,0.00,-0.36,-0.12,-0.02,-0.02
  └─ Other income normal,0.62,0.74,0.51,2.39,0.48,1.36,0.68,1.45,0.95,1.30,1.55,1.88,1.91
Interest,2.79,2.55,2.75,1.90,3.37,3.28,2.71,2.42,3.44,3.83,3.49,3.47,3.99
Depreciation,3.03,3.22,3.25,2.95,3.31,3.58,3.36,3.48,3.54,3.52,3.43,3.30,3.47
Profit before tax,12.57,28.49,6.55,-14.13,6.00,41.85,0.30,-16.91,1.45,28.62,2.64,-17.45,2.43
Tax %,9.71%,11.44%,12.82%,-13.09%,10.33%,12.93%,16.67%,-14.73%,11.03%,14.85%,25.76%,-14.67%,0.00%
Net Profit,11.35,25.23,5.71,-12.28,5.38,36.44,0.25,-14.42,1.29,24.37,1.96,-14.89,2.43
  └─ Exceptional items AT,7,0,0,0,0,0,0,-0,0,-0,-0,-0,-0
  └─ Profit excl Excep,5,25,6,-12,5,36,0,-14,1,25,2,-15,2
  └─ Profit for PE,5,25,6,-12,5,36,0,-14,1,25,2,-15,2
  └─ Profit for EPS,11,25,6,-12,5,36,0,-14,1,24,2,-15,2
  └─ YOY Profit Growth %,,,,46%,13%,44%,-96%,-16%,-76%,-32%,720%,-4%,90%
EPS in Rs,3.09,6.87,1.56,-3.35,1.47,9.93,0.07,-3.82,0.34,6.46,0.52,-3.95,0.64
Raw PDF,,,,,,,,,,,,,
