Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,605,626,626,627,657,677,701,722,750,791,805,819,869
  └─ YOY Sales Growth %,27.87%,14.38%,3.60%,6.38%,8.70%,8.11%,11.98%,15.19%,14.03%,16.87%,14.93%,13.43%,15.93%
Expenses,497,445,496,444,453,467,547,457,517,531,526,525,536
  └─ Employee Cost %,43.63%,45.00%,44.17%,44.40%,44.37%,43.24%,43.63%,42.30%,44.20%,41.36%,42.26%,41.78%,38.16%
Operating Profit,107,181,130,183,204,210,154,266,232,260,280,294,334
OPM %,18%,29%,21%,29%,31%,31%,22%,37%,31%,33%,35%,36%,38%
Other Income,-533,64,212,38,-11,154,379,141,546,209,187,136,572
  └─ Exceptional items,-97,0,46,5,-162,2,165,-46,26,-5,25,-52,70
  └─ Other income normal,-435,64,166,33,151,151,214,187,521,213,162,188,502
Interest,1,4,8,5,6,6,6,6,6,7,7,7,7
Depreciation,20,24,26,26,26,26,27,30,31,31,31,30,30
Profit before tax,-447,217,308,190,162,332,500,371,742,431,429,393,869
Tax %,13%,32%,22%,37%,46%,22%,83%,22%,9%,20%,19%,19%,13%
Net Profit,-503,147,240,119,88,259,85,288,678,343,348,317,756
  └─ Minority share,230,11,-35,32,-28,-26,-61,-46,-214,-47,-31,-45,-190
  └─ Exceptional items AT,-85,0,36,3,-88,2,28,-36,23,-4,20,-40,61
  └─ Profit excl Excep,-418,147,204,116,176,257,57,324,655,347,328,357,695
  └─ Profit for PE,-227,159,175,148,121,231,16,273,447,299,298,306,520
  └─ Profit for EPS,-273,159,205,151,60,233,23,243,463,296,316,272,566
  └─ YOY Profit Growth %,-195%,-11%,69%,-37%,153%,46%,-91%,84%,271%,29%,1814%,12%,16%
EPS in Rs,-4.22,2.46,3.18,2.34,0.93,3.60,0.36,3.74,7.15,4.57,4.88,4.19,8.73
Raw PDF,,,,,,,,,,,,,
