Metric,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.00,0.00,1.60,2.52,1.02,2.39,1.92,0.96,1.83
  └─ YOY Sales Growth %,,,,,,,20%,-62%,79%
Expenses,0.05,0.04,1.58,2.83,2.11,2.31,2.15,1.41,2.71
  └─ Material Cost %,,,15%,52%,78%,46%,48%,57%,73%
  └─ Employee Cost %,,,23%,26%,41%,16%,30%,38%,24%
Operating Profit,-0.05,-0.04,0.02,-0.31,-1.09,0.08,-0.23,-0.45,-0.88
OPM %,,,1.25%,-12.30%,-106.86%,3.35%,-11.98%,-46.88%,-48.09%
Other Income,1.37,0.35,0.04,0.15,-0.18,0.03,0.04,0.08,0.15
  └─ Other income normal,1.37,0.35,0.04,0.15,-0.18,0.03,0.04,0.08,0.15
Interest,0.00,0.00,0.13,0.11,-0.23,0.01,0.00,0.00,0.00
Depreciation,0.00,0.00,0.13,0.14,0.15,0.12,0.12,0.12,0.12
Profit before tax,1.32,0.31,-0.20,-0.41,-1.19,-0.02,-0.31,-0.49,-0.85
Tax %,18.94%,19.35%,30.00%,-4.88%,-8.40%,0.00%,0.00%,0.00%,-64.71%
Net Profit,1.07,0.25,-0.25,-0.39,-1.08,-0.02,-0.31,-0.48,-0.30
  └─ Profit excl Excep,1,0,-0,-0,-1,-0,-0,-0,-0
  └─ Profit for PE,1,0,-0,-0,-1,-0,-0,-0,-0
  └─ Profit for EPS,1,0,-0,-0,-1,-0,-0,-0,-0
  └─ YOY Profit Growth %,,,,-136%,,-108%,-24%,-23%,72%
EPS in Rs,5.59,1.31,-1.31,-2.04,-5.64,-0.10,-1.62,-2.51,-1.57
Raw PDF,,,,,,,,,
