Metric,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,9.79,8.93,17.25,15.91,13.95,15.68
  └─ YOY Sales Growth %,,,,,42%,76%
Expenses,8.03,8.39,14.88,12.63,11.39,10.43
  └─ Employee Cost %,19.31%,23.96%,14.96%,15.46%,19.57%,17.92%
Operating Profit,1.76,0.54,2.37,3.28,2.56,5.25
OPM %,17.98%,6.05%,13.74%,20.62%,18.35%,33.48%
Other Income,0.36,1.03,0.82,0.24,0.59,0.43
  └─ Other income normal,0.36,1.03,0.82,0.24,0.59,0.43
Interest,0.00,0.01,0.03,0.01,0.00,0.00
Depreciation,0.48,0.58,0.72,0.78,0.80,0.79
Profit before tax,1.64,0.98,2.44,2.73,2.35,4.89
Tax %,30.49%,6.12%,22.54%,26.74%,22.55%,31.70%
Net Profit,1.17,0.95,1.96,2.05,1.77,3.32
  └─ Profit from Associates,0,0,0,0,-0,-0
  └─ Profit excl Excep,1,1,2,2,2,3
  └─ Profit for PE,1,1,2,2,2,3
  └─ Profit for EPS,1,1,2,2,2,3
  └─ YOY Profit Growth %,,,,,51%,249%
EPS in Rs,1.93,1.57,3.24,3.39,2.92,5.48
Raw PDF,,,,,,
