Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,3275,3472,3606,3820,4164,4474,4929,5190,5622,6450,7283,8188,9289
  └─ YOY Sales Growth %,8%,25%,28%,27%,27%,29%,37%,36%,35%,44%,48%,58%,65%
Interest,1091,1236,1335,1412,1447,1595,1807,1900,2111,2355,2571,2919,3155
Expenses,829,847,805,872,1121,1226,1324,1405,1549,1441,1480,1426,1528
  └─ Employee Cost %,13.75%,12.31%,11.69%,11.44%,13.03%,11.57%,10.76%,11.18%,11.67%,10.80%,9.98%,8.98%,6.27%
Financing Profit,1355,1389,1467,1536,1596,1653,1798,1885,1961,2654,3232,3843,4606
Financing Margin %,41%,40%,41%,40%,38%,37%,36%,36%,35%,41%,44%,47%,50%
Other Income,23,37,26,23,16,19,29,32,6,35,50,20,3
  └─ Other income normal,23.48,36.99,25.81,22.66,15.62,18.61,28.57,31.95,5.62,34.89,49.80,19.78,2.65
Depreciation,23,19,22,24,27,26,25,31,35,35,38,40,24
Profit before tax,1355,1407,1470,1534,1585,1646,1802,1886,1932,2654,3244,3822,4584
Tax %,26%,26%,26%,25%,25%,27%,27%,26%,25%,26%,26%,26%,26%
Net Profit,1009,1045,1095,1145,1182,1196,1321,1392,1444,1974,2412,2823,3397
  └─ Minority share,-36,-23,-36,-42,-43,-32,-50,-2,34,42,9,-19,-48
  └─ Profit excl Excep,1009,1045,1095,1145,1182,1196,1321,1392,1444,1974,2412,2823,3397
  └─ Profit for PE,974,1022,1060,1104,1139,1164,1272,1389,1478,2016,2421,2804,3349
  └─ Profit for EPS,974,1022,1060,1104,1139,1164,1272,1389,1478,2016,2421,2804,3349
  └─ YOY Profit Growth %,-2%,25%,19%,19%,17%,14%,20%,26%,30%,73%,90%,102%,127%
EPS in Rs,24.25,25.46,26.39,27.49,28.37,28.99,31.67,34.60,36.81,50.22,60.29,69.84,83.43
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
