Metric,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019
Sales,44.85,19.14,31.92,29.59,30.51,12.90,61.76,59.15,46.60,87.38,79.98,36.14,59.64
  └─ YOY Sales Growth %,29.40%,-51.36%,29.13%,49.14%,-31.97%,-32.60%,93.48%,99.90%,52.74%,577.36%,29.50%,-38.90%,27.98%
Expenses,43.25,19.80,32.40,29.47,29.72,13.61,60.41,59.00,46.00,85.30,79.80,35.17,58.80
  └─ Material Cost %,90%,92%,92%,93%,86%,94%,94%,93%,94%,92%,97%,94%,95%
  └─ Employee Cost %,1%,1%,2%,1%,1%,4%,1%,1%,1%,1%,1%,1%,1%
Operating Profit,1.60,-0.66,-0.48,0.12,0.79,-0.71,1.35,0.15,0.60,2.08,0.18,0.97,0.84
OPM %,3.57%,-3.45%,-1.50%,0.41%,2.59%,-5.50%,2.19%,0.25%,1.29%,2.38%,0.23%,2.68%,1.41%
Other Income,0.00,0.92,1.37,1.02,1.02,0.78,1.32,0.78,0.56,0.10,0.83,0.77,0.63
  └─ Other income normal,0.00,0.92,1.37,1.02,1.02,0.78,1.32,0.78,0.56,0.10,0.83,0.77,0.63
Interest,0.55,0.09,0.45,0.50,0.81,0.00,1.31,0.21,0.30,0.41,0.52,1.07,0.63
Depreciation,0.09,0.12,0.10,0.03,0.32,0.00,0.24,0.15,0.11,0.16,0.14,0.12,0.12
Profit before tax,0.96,0.05,0.34,0.61,0.68,0.07,1.12,0.57,0.75,1.61,0.35,0.55,0.72
Tax %,35.42%,100.00%,47.06%,47.54%,35.29%,28.57%,23.21%,31.58%,24.00%,34.78%,17.14%,27.27%,13.89%
Net Profit,0.61,0.00,0.18,0.32,0.44,0.04,0.85,0.39,0.57,1.05,0.30,0.40,0.62
  └─ Profit excl Excep,0.61,0.00,0.18,0.32,0.44,0.04,0.85,0.39,0.57,1.05,0.30,0.40,0.62
  └─ Profit for PE,0.61,0.00,0.18,0.32,0.44,0.04,0.85,0.39,0.57,1.05,0.30,0.40,0.62
  └─ Profit for EPS,0.61,0.00,0.18,0.32,0.44,0.04,0.85,0.39,0.57,1.05,0.30,0.40,0.62
  └─ YOY Profit Growth %,205.00%,-100.00%,-28.00%,52.38%,-27.87%,,372.22%,21.88%,29.55%,2525.00%,-64.71%,2.56%,8.77%
EPS in Rs,0.25,0.00,0.07,0.13,0.18,0.02,0.35,0.16,0.23,0.43,0.12,0.16,0.25
Raw PDF,,,,,,,,,,,,,
