Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,80,91,78,80,87,98,90,78,93,106,90,84,83
  └─ YOY Sales Growth %,-7.84%,-4.27%,-3.72%,0.25%,9.37%,8.36%,15.92%,-1.89%,6.85%,7.82%,-0.51%,7.83%,-10.56%
Expenses,65,73,63,66,72,80,74,66,77,86,76,71,70
  └─ Material Cost %,58%,59%,55%,54%,57%,62%,54%,55%,56%,58%,59%,59%,60%
  └─ Employee Cost %,8%,6%,9%,9%,8%,7%,8%,9%,8%,7%,8%,9%,9%
Operating Profit,14,17,15,13,15,18,17,12,16,20,14,14,13
OPM %,18%,19%,19%,17%,17%,18%,18%,15%,17%,19%,16%,16%,15%
Other Income,2,4,4,9,6,7,6,7,5,7,11,6,7
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.70
  └─ Other income normal,2.21,3.52,3.85,8.61,5.51,6.73,5.64,6.87,5.47,7.11,10.71,5.56,7.50
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,4,3,3,3,3,3,3,3,3,3,3,3,3
Profit before tax,13,17,16,19,17,21,19,16,18,24,22,16,17
Tax %,26%,24%,25%,23%,25%,24%,24%,28%,25%,26%,23%,24%,24%
Net Profit,10,13,12,15,13,16,15,11,14,18,17,13,13
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.53
  └─ Profit excl Excep,9.61,13.21,11.96,14.62,12.86,16.28,14.51,11.41,13.53,17.67,16.93,12.56,13.32
  └─ Profit for PE,9.61,13.21,11.96,14.62,12.86,16.28,14.51,11.41,13.53,17.67,16.93,12.56,13.32
  └─ Profit for EPS,9.61,13.21,11.96,14.62,12.86,16.28,14.51,11.41,13.53,17.67,16.93,12.56,12.79
  └─ YOY Profit Growth %,-4.76%,10.73%,31.14%,49.95%,33.82%,23.24%,21.32%,-21.96%,5.21%,8.54%,16.68%,10.08%,-1.55%
EPS in Rs,8.01,11.01,9.97,12.18,10.72,13.57,12.09,9.51,11.28,14.72,14.11,10.47,10.66
Raw PDF,,,,,,,,,,,,,
