Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,108,196,96,101,380,490,475,325,889,681,493,213,342
  └─ YOY Sales Growth %,-57%,29%,-50%,-24%,251%,150%,393%,224%,134%,39%,4%,-35%,-61%
Expenses,463,254,119,134,372,514,399,231,881,692,545,365,604
  └─ Material Cost %,337%,99%,86%,104%,72%,69%,76%,61%,81%,87%,86%,105%,107%
  └─ Employee Cost %,22%,9%,17%,16%,5%,3%,3%,7%,6%,9%,12%,30%,22%
Operating Profit,-355,-58,-23,-33,8,-24,76,94,8,-11,-52,-152,-261
OPM %,-328%,-29%,-24%,-33%,2%,-5%,16%,29%,1%,-2%,-11%,-71%,-76%
Other Income,-14,-616,12,11,22,68,2,4,266,13,44,47,69
  └─ Exceptional items,-39,-629,0,0,0,0,0,0,-28,0,0,-4,4
  └─ Other income normal,25,13,12,11,22,68,2,4,294,13,44,52,65
Interest,1,1,3,4,150,115,101,106,139,160,135,113,140
Depreciation,3,3,3,3,2,2,5,3,5,7,9,20,13
Profit before tax,-373,-677,-16,-28,-122,-73,-27,-11,129,-165,-152,-238,-345
Tax %,1%,0%,11%,36%,-26%,-272%,5%,134%,5%,1%,0%,-2%,-6%
Net Profit,-376,-679,-18,-38,-99,121,-34,-27,123,-166,-153,-233,-323
  └─ Profit from Associates,0,0,0,0,-9,-4,-5,-0,-0,-0,-0,-0,2
  └─ Minority share,-0,-0,-0,-0,0,1,-0,5,7,-0,-0,1,-0
  └─ Exceptional items AT,-38,-627,0,0,0,0,0,0,-26,0,0,-4,4
  └─ Profit excl Excep,-337,-52,-18,-38,-99,121,-34,-27,149,-166,-153,-229,-327
  └─ Profit for PE,-338,-53,-18,-39,-99,122,-34,-21,156,-166,-153,-228,-328
  └─ Profit for EPS,-376,-680,-18,-39,-99,122,-34,-21,130,-166,-153,-233,-324
  └─ YOY Profit Growth %,-464%,-1%,-133%,84%,71%,333%,-86%,45%,257%,-235%,-346%,-978%,-311%
EPS in Rs,-6.94,-12.55,-0.34,-0.71,-1.83,1.93,-0.54,-0.33,1.06,-1.21,-1.11,-1.67,-2.33
Raw PDF,,,,,,,,,,,,,
