Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,486,500,531,586,560,591,642,682,708,620,720,754,856
  └─ YOY Sales Growth %,16.25%,15.28%,17.38%,22.15%,15.23%,18.12%,20.83%,16.33%,26.51%,4.97%,12.23%,10.64%,20.84%
Expenses,376,398,417,453,450,462,495,543,582,520,576,594,661
  └─ Material Cost %,50.17%,48.55%,47.57%,46.55%,48.18%,44.32%,40.25%,43.75%,45.91%,42.23%,42.84%,41.92%,45.63%
  └─ Employee Cost %,12.53%,13.65%,13.39%,12.72%,14.24%,13.63%,13.11%,12.97%,13.72%,15.87%,14.41%,14.84%,12.47%
Operating Profit,110,102,114,133,110,128,147,139,127,100,144,161,195
OPM %,23%,20%,21%,23%,20%,22%,23%,20%,18%,16%,20%,21%,23%
Other Income,11,10,19,5,17,15,-0,28,15,6,22,20,35
  └─ Other income normal,11.01,10.10,19.00,4.80,16.53,14.95,-0.07,27.85,15.34,5.64,21.57,20.14,35.17
Interest,2,2,2,3,5,3,3,3,3,6,6,6,6
Depreciation,14,14,18,22,21,20,20,21,23,23,27,24,24
Profit before tax,104,97,114,113,100,120,125,143,116,77,133,151,200
Tax %,21%,27%,26%,26%,23%,26%,22%,27%,22%,24%,26%,25%,25%
Net Profit,83,70,84,83,78,89,98,105,91,58,99,114,149
  └─ Minority share,-1,-2,-0,0,1,-0,-1,-0,-0,0,-1,-0,-1
  └─ Profit excl Excep,83,70,84,83,78,89,98,105,91,58,99,114,149
  └─ Profit for PE,82,69,84,83,78,89,97,105,91,58,98,113,148
  └─ Profit for EPS,82,69,84,83,78,89,97,105,91,58,98,113,148
  └─ YOY Profit Growth %,191%,15%,36%,31%,-4%,29%,16%,26%,16%,-34%,2%,8%,64%
EPS in Rs,1.81,1.52,1.84,1.84,1.73,1.96,2.13,2.31,2.00,1.29,2.17,2.50,3.27
Raw PDF,,,,,,,,,,,,,
