Metric,Mar 2014,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020
Sales,6.74,2.59,0.99,1.89,2.08,5.04,2.59,2.02,5.14,1.01,0.36,1.49,2.52
  └─ YOY Sales Growth %,-39%,,,,,95%,162%,7%,147%,-80%,-86%,-26%,-51%
Expenses,4.30,15.05,4.73,3.89,3.97,24.97,3.14,2.63,5.87,7.00,1.76,2.54,2.96
  └─ Material Cost %,13%,546%,137%,125%,110%,176%,59%,65%,91%,266%,81%,77%,68%
  └─ Employee Cost %,5%,35%,69%,32%,39%,45%,30%,43%,17%,103%,258%,62%,35%
Operating Profit,2.44,-12.46,-3.74,-2.00,-1.89,-19.93,-0.55,-0.61,-0.73,-5.99,-1.40,-1.05,-0.44
OPM %,36.20%,-481.08%,-377.78%,-105.82%,-90.87%,-395.44%,-21.24%,-30.20%,-14.20%,-593.07%,-388.89%,-70.47%,-17.46%
Other Income,-0.05,1.51,0.12,0.07,0.05,2.91,0.10,0.07,0.19,0.20,0.12,0.21,0.11
  └─ Exceptional items,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,-0.04,1.51,0.12,0.07,0.05,2.91,0.10,0.07,0.19,0.20,0.12,0.21,0.11
Interest,0.37,0.46,0.43,0.39,0.23,1.21,0.13,0.14,0.15,0.24,0.22,0.07,0.13
Depreciation,0.24,0.27,0.20,0.20,0.20,0.42,0.14,0.14,0.14,0.14,0.10,0.10,0.10
Profit before tax,1.78,-11.68,-4.25,-2.52,-2.27,-18.65,-0.72,-0.82,-0.83,-6.17,-1.60,-1.01,-0.56
Tax %,58.43%,-27.91%,0.00%,0.00%,0.00%,-30.72%,-19.44%,-28.05%,-20.48%,-20.91%,-26.25%,-25.74%,-28.57%
Net Profit,0.73,-8.42,-4.25,-2.52,-2.28,-12.92,-0.58,-0.59,-0.66,-4.88,-1.19,-0.75,-0.41
  └─ Exceptional items AT,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,0.74,-8.42,-4.25,-2.52,-2.28,-12.92,-0.58,-0.59,-0.66,-4.88,-1.19,-0.75,-0.41
  └─ Profit for PE,0.74,-8.42,-4.25,-2.52,-2.28,-12.92,-0.58,-0.59,-0.66,-4.88,-1.19,-0.75,-0.41
  └─ Profit for EPS,0.73,-8.42,-4.25,-2.52,-2.28,-12.92,-0.58,-0.59,-0.66,-4.88,-1.19,-0.75,-0.41
  └─ YOY Profit Growth %,-62.44%,,,,,-53.44%,86.35%,76.59%,71.05%,62.23%,-105.17%,-27.12%,37.88%
EPS in Rs,0.34,-3.79,-1.91,-1.13,-1.03,-5.41,-0.24,-0.25,-0.28,-2.04,-0.50,-0.31,-0.17
Raw PDF,,,,,,,,,,,,,
