Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,9.39,13.82,10.59,11.73,10.88,7.33,6.36,6.04,5.45,5.25,0.22,22.18,52.22
  └─ YOY Sales Growth %,-25%,-18%,-21%,-18%,16%,-47%,-40%,-49%,-50%,-28%,-96%,307%,895%
Expenses,9.19,13.68,10.30,11.39,11.44,7.22,6.53,6.08,5.46,5.45,0.24,18.17,38.94
  └─ Material Cost %,94.78%,94.86%,95.37%,93.95%,102.76%,96.32%,100.16%,97.85%,98.72%,100.57%,100.00%,0.09%,0.00%
  └─ Employee Cost %,0.64%,0.51%,0.76%,0.51%,0.46%,0.68%,0.79%,0.83%,0.92%,0.95%,0.00%,2.61%,2.01%
Operating Profit,0.20,0.14,0.29,0.34,-0.56,0.11,-0.17,-0.04,-0.01,-0.20,-0.02,4.01,13.28
OPM %,2.13%,1.01%,2.74%,2.90%,-5.15%,1.50%,-2.67%,-0.66%,-0.18%,-3.81%,-9.09%,18.08%,25.43%
Other Income,0.26,0.00,0.06,0.00,0.68,0.00,0.06,0.02,0.00,0.10,0.16,0.27,1.06
  └─ Other income normal,0.26,0.00,0.06,0.00,0.68,0.00,0.06,0.02,0.00,0.10,0.16,0.27,1.06
Interest,0.23,0.52,0.26,0.28,0.27,0.50,0.22,0.16,0.00,0.23,0.00,0.42,2.13
Depreciation,0.07,0.03,0.06,0.04,0.04,0.07,0.05,0.05,0.07,-0.02,0.00,0.98,0.71
Profit before tax,0.16,-0.41,0.03,0.02,-0.19,-0.46,-0.38,-0.23,-0.08,-0.31,0.14,2.88,11.50
Tax %,0.00%,0.00%,33.33%,100.00%,78.95%,-45.65%,7.89%,26.09%,-12.50%,3.23%,7.14%,4.86%,53.74%
Net Profit,0.16,-0.42,0.03,0.00,-0.34,-0.24,-0.41,-0.29,-0.06,-0.32,0.14,2.73,5.32
  └─ Minority share,0,-0,-0,-0,-0,-0,0,-0,0,0,0,-1,-2
  └─ Profit excl Excep,0,-0,0,0,-0,-0,-0,-0,-0,-0,0,3,5
  └─ Profit for PE,0,-0,0,-0,-1,-0,-0,-0,-0,-0,0,2,3
  └─ Profit for EPS,0,-0,0,-0,-1,-0,-0,-0,-0,-0,0,2,3
  └─ YOY Profit Growth %,371%,-527%,107%,-107%,-368%,11%,-2150%,-2900%,88%,33%,147%,2767%,1239%
EPS in Rs,0.62,-1.53,0.06,-0.03,-1.66,-1.36,-1.33,-0.97,-0.19,-0.91,0.15,1.73,3.45
Raw PDF,,,,,,,,,,,,,
