Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,29.31,58.73,41.97,35.85,61.08
  └─ YOY Sales Growth %,,,,22.31%,4.00%
Expenses,25.46,50.31,35.13,28.91,54.71
  └─ Material Cost %,73%,74%,72%,68%,80%
  └─ Employee Cost %,10%,5%,8%,9%,5%
Operating Profit,3.85,8.42,6.84,6.94,6.37
OPM %,13.14%,14.34%,16.30%,19.36%,10.43%
Other Income,0.16,0.26,0.14,0.16,0.46
  └─ Other income normal,0.16,0.26,0.14,0.16,0.46
Interest,0.47,0.64,0.51,0.60,0.30
Depreciation,0.13,0.17,0.21,0.20,0.21
Profit before tax,3.41,7.87,6.26,6.30,6.32
Tax %,27.86%,28.97%,28.12%,26.98%,32.91%
Net Profit,2.46,5.59,4.51,4.60,4.24
  └─ Profit excl Excep,2.46,5.59,4.51,4.60,4.24
  └─ Profit for PE,2.46,5.59,4.51,4.60,4.24
  └─ Profit for EPS,2.46,5.59,4.51,4.60,4.24
  └─ YOY Profit Growth %,,,,86.99%,-24.15%
EPS in Rs,1921.88,4050.72,5.92,4.57,4.21
Raw PDF,,,,,
