Metric,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012
Sales,8.29,5.93,7.60,7.19,7.84,7.84,8.35,8.08,7.21,10.05,10.38,8.08,7.49
  └─ YOY Sales Growth %,81.00%,-3.89%,7.04%,14.49%,-5.43%,32.21%,9.87%,12.38%,-8.04%,28.19%,24.31%,0.00%,3.88%
Expenses,7.95,5.43,7.36,6.35,6.45,6.62,8.79,7.13,10.55,9.37,9.12,6.41,6.13
  └─ Material Cost %,89%,88%,88%,82%,75%,78%,88%,82%,104%,84%,77%,71%,74%
  └─ Employee Cost %,2%,4%,2%,2%,3%,1%,3%,2%,2%,3%,2%,1%,1%
Operating Profit,0.34,0.50,0.24,0.84,1.39,1.22,-0.44,0.95,-3.34,0.68,1.26,1.67,1.36
OPM %,4.10%,8.43%,3.16%,11.68%,17.73%,15.56%,-5.27%,11.76%,-46.32%,6.77%,12.14%,20.67%,18.16%
Other Income,0.01,0.20,0.10,0.11,0.13,0.16,0.10,0.12,0.12,0.00,0.07,0.00,0.01
  └─ Other income normal,0.01,0.20,0.10,0.11,0.13,0.16,0.10,0.12,0.12,0.00,0.07,0.00,0.01
Interest,0.01,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.14,0.00,0.00
Depreciation,0.05,0.22,0.11,0.11,0.13,0.12,0.14,0.13,0.08,0.08,0.01,0.04,0.04
Profit before tax,0.29,0.48,0.23,0.84,1.39,1.18,-0.48,0.94,-3.30,0.60,1.18,1.63,1.33
Tax %,65.52%,114.58%,-121.74%,28.57%,30.22%,69.49%,214.58%,30.85%,2.73%,5.00%,32.20%,34.97%,32.33%
Net Profit,0.10,-0.07,0.51,0.60,0.97,0.36,-1.51,0.65,-3.39,0.57,0.80,1.06,0.90
  └─ Minority share,-0,-0,-0,-0,-0,-0,1,0,0,0,0,0,0
  └─ Profit excl Excep,0,-0,1,1,1,0,-2,1,-3,1,1,1,1
  └─ Profit for PE,-0,-0,0,0,0,0,-1,1,-3,1,1,1,1
  └─ Profit for EPS,-0,-0,0,0,0,0,-1,1,-3,1,1,1,1
  └─ YOY Profit Growth %,-113%,-117%,-32%,-11%,580%,300%,-404%,103%,-806%,217%,201%,63%,127%
EPS in Rs,,,,0.16,0.24,0.09,-0.39,0.32,-1.66,0.28,0.39,0.52,0.44
Raw PDF,,,,,,,,,,,,,
