Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3.35,14.17,8.70,7.33,5.01,7.88,10.43,5.91,11.17,11.92
  └─ YOY Sales Growth %,,,,,50%,-44%,20%,-19%,123%,51%
Expenses,3.45,10.66,7.18,6.32,4.49,7.36,8.67,5.52,7.94,9.69
  └─ Material Cost %,60%,50%,50%,55%,52%,56%,63%,62%,52%,54%
  └─ Employee Cost %,32%,9%,12%,14%,22%,15%,12%,20%,12%,11%
Operating Profit,-0.10,3.51,1.52,1.01,0.52,0.52,1.76,0.39,3.23,2.23
OPM %,-2.99%,24.77%,17.47%,13.78%,10.38%,6.60%,16.87%,6.60%,28.92%,18.71%
Other Income,0.60,0.54,0.51,0.56,0.65,0.74,0.53,0.77,0.09,0.90
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.41,0.00
  └─ Other income normal,0.60,0.54,0.51,0.56,0.65,0.74,0.53,0.77,0.50,0.90
Interest,0.15,0.18,0.24,0.11,0.07,0.06,0.11,0.13,0.14,0.01
Depreciation,0.12,0.13,0.10,0.10,0.10,0.08,0.12,0.12,0.12,0.12
Profit before tax,0.23,3.74,1.69,1.36,1.00,1.12,2.06,0.91,3.06,3.00
Tax %,21.74%,31.02%,26.04%,25.00%,27.00%,22.32%,25.24%,27.47%,10.78%,21.33%
Net Profit,0.19,2.58,1.25,1.01,0.73,0.86,1.53,0.66,2.72,2.35
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,-0,0
  └─ Profit excl Excep,0,3,1,1,1,1,2,1,3,2
  └─ Profit for PE,0,3,1,1,1,1,2,1,3,2
  └─ Profit for EPS,0,3,1,1,1,1,2,1,3,2
  └─ YOY Profit Growth %,,,,,284%,-67%,22%,-35%,319%,173%
EPS in Rs,0.34,4.68,2.27,1.83,1.32,1.56,2.78,1.20,4.94,4.26
Raw PDF,,,,,,,,,,
