Metric,Jun 2022,Sep 2022,Dec 2022,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,16.16,23.21,16.49,15.87,16.96,17.80,18.47,19.05,17.16,18.21,21.09,17.14,22.88
  └─ YOY Sales Growth %,24.21%,10.68%,-34.36%,-3.76%,,,,20.04%,1.18%,2.30%,14.19%,-10.03%,33.33%
Expenses,15.02,21.72,16.26,14.74,15.89,16.28,16.90,17.82,14.83,16.69,18.92,15.60,21.15
  └─ Material Cost %,53.09%,63.21%,58.52%,58.03%,43.51%,53.37%,47.92%,55.59%,44.76%,52.88%,52.92%,45.80%,43.31%
  └─ Employee Cost %,21.41%,14.17%,19.71%,20.29%,21.17%,19.66%,20.95%,20.63%,21.04%,20.87%,18.54%,24.91%,18.97%
Operating Profit,1.14,1.49,0.23,1.13,1.07,1.52,1.57,1.23,2.33,1.52,2.17,1.54,1.73
OPM %,7.05%,6.42%,1.39%,7.12%,6.31%,8.54%,8.50%,6.46%,13.58%,8.35%,10.29%,8.98%,7.56%
Other Income,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.16,0.00,0.01,0.00,0.01
  └─ Other income normal,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.16,0.00,0.01,0.00,0.01
Interest,0.31,0.37,0.33,0.34,0.37,0.33,0.37,0.37,1.05,0.65,0.65,0.79,0.77
Depreciation,0.77,0.70,0.80,0.71,0.63,0.72,0.73,0.76,0.76,0.77,0.75,0.78,0.75
Profit before tax,0.06,0.42,-0.90,0.19,0.07,0.47,0.47,0.10,0.68,0.10,0.78,-0.03,0.22
Tax %,-16.67%,2.38%,0.00%,5.26%,185.71%,19.15%,19.15%,20.00%,29.41%,20.00%,19.23%,333.33%,81.82%
Net Profit,0.07,0.40,-0.90,0.18,-0.06,0.38,0.39,0.08,0.48,0.08,0.64,-0.13,0.04
  └─ Profit excl Excep,0,0,-1,0,-0,0,0,0,0,0,1,-0,0
  └─ Profit for PE,0,0,-1,0,-0,0,0,0,0,0,1,-0,0
  └─ Profit for EPS,0,0,-1,0,-0,0,0,0,0,0,1,-0,0
  └─ YOY Profit Growth %,600%,74%,-305%,120%,,,,-56%,900%,-79%,64%,-262%,-92%
EPS in Rs,0.07,0.42,-0.95,0.19,-0.06,0.40,0.41,0.08,0.51,0.08,0.67,-0.14,0.04
Raw PDF,,,,,,,,,,,,,
