Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,64.83,72.69,67.50,64.82,69.37,78.70,88.28,72.70,90.05,82.52,86.43,71.62,91.62
  └─ YOY Sales Growth %,25.91%,6.43%,3.58%,20.26%,7.00%,8.27%,30.79%,12.16%,29.81%,4.85%,-2.10%,-1.49%,1.74%
Expenses,56.46,64.70,59.21,56.17,61.45,70.15,78.06,67.63,79.43,72.37,75.49,62.94,77.17
  └─ Material Cost %,61%,65%,62%,58%,60%,62%,63%,61%,62%,60%,60%,56%,57%
  └─ Employee Cost %,9%,8%,9%,10%,10%,9%,8%,9%,8%,9%,9%,11%,9%
Operating Profit,8.37,7.99,8.29,8.65,7.92,8.55,10.22,5.07,10.62,10.15,10.94,8.68,14.45
OPM %,12.91%,10.99%,12.28%,13.34%,11.42%,10.86%,11.58%,6.97%,11.79%,12.30%,12.66%,12.12%,15.77%
Other Income,0.88,0.62,0.62,0.67,1.09,1.06,1.09,1.37,1.69,1.93,1.95,1.62,1.25
  └─ Other income normal,0.88,0.62,0.62,0.67,1.09,1.06,1.09,1.37,1.69,1.93,1.95,1.62,1.25
Interest,2.12,2.13,2.10,1.93,2.22,2.18,2.46,2.43,2.48,2.85,2.65,2.78,2.42
Depreciation,3.85,3.81,3.89,3.92,3.93,3.95,4.15,4.42,4.81,3.82,4.24,4.61,4.74
Profit before tax,3.28,2.67,2.92,3.47,2.86,3.48,4.70,-0.41,5.02,5.41,6.00,2.91,8.54
Tax %,23.17%,26.22%,28.08%,26.51%,29.02%,41.67%,35.32%,129.27%,27.49%,24.58%,23.50%,24.74%,25.29%
Net Profit,2.51,1.97,2.09,2.55,2.03,2.03,3.04,-0.94,3.65,4.08,4.60,2.20,6.38
  └─ Profit excl Excep,3,2,2,3,2,2,3,-1,4,4,5,2,6
  └─ Profit for PE,3,2,2,3,2,2,3,-1,4,4,5,2,6
  └─ Profit for EPS,3,2,2,3,2,2,3,-1,4,4,5,2,6
  └─ YOY Profit Growth %,14%,-58%,-13%,152%,-19%,3%,45%,-137%,80%,101%,51%,334%,75%
EPS in Rs,0.37,0.29,0.30,0.37,0.29,0.28,0.41,-0.13,0.50,0.55,0.62,0.30,0.86
Raw PDF,,,,,,,,,,,,,
