Metric,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Sales,83.13,72.10,48.33,61.37,113.22,80.29,35.38,80.71,64.20,101.19,82.83,85.23,87.27
  └─ YOY Sales Growth %,,0.87%,-3.32%,22.30%,36.20%,11.36%,-26.79%,31.51%,-43.30%,26.03%,134.12%,5.60%,35.93%
Expenses,76.02,64.80,41.86,54.68,105.31,73.06,29.71,72.68,56.67,92.23,75.11,76.76,79.53
  └─ Material Cost %,65%,50%,51%,54%,72%,63%,42%,63%,56%,71%,64%,66%,65%
  └─ Employee Cost %,4%,5%,6%,5%,3%,4%,8%,4%,6%,3%,4%,4%,5%
Operating Profit,7.11,7.30,6.47,6.69,7.91,7.23,5.67,8.03,7.53,8.96,7.72,8.47,7.74
OPM %,8.55%,10.12%,13.39%,10.90%,6.99%,9.00%,16.03%,9.95%,11.73%,8.85%,9.32%,9.94%,8.87%
Other Income,0.16,0.17,0.18,0.18,0.16,0.61,0.50,0.29,0.44,0.26,0.26,0.15,0.56
  └─ Other income normal,0.16,0.17,0.18,0.18,0.16,0.61,0.50,0.29,0.44,0.26,0.26,0.15,0.56
Interest,1.96,2.35,2.35,2.51,1.92,2.24,2.31,3.44,3.59,2.89,2.63,3.12,2.59
Depreciation,0.86,0.88,0.83,0.83,0.83,1.13,1.06,1.05,1.05,0.95,1.03,1.04,1.03
Profit before tax,4.45,4.24,3.47,3.53,5.32,4.47,2.80,3.83,3.33,5.38,4.32,4.46,4.68
Tax %,25.17%,29.25%,25.94%,25.50%,25.75%,28.19%,25.71%,23.50%,29.73%,29.00%,25.93%,25.56%,27.99%
Net Profit,3.33,3.01,2.57,2.63,3.95,3.21,2.07,2.93,2.34,3.82,3.20,3.32,3.37
  └─ Profit excl Excep,3.33,3.01,2.57,2.63,3.95,3.21,2.07,2.93,2.34,3.82,3.20,3.32,3.37
  └─ Profit for PE,3.33,3.01,2.57,2.63,3.95,3.21,2.07,2.93,2.34,3.82,3.20,3.32,3.37
  └─ Profit for EPS,3.33,3.01,2.57,2.63,3.95,3.21,2.07,2.93,2.34,3.82,3.20,3.32,3.37
  └─ YOY Profit Growth %,,-4.44%,0.39%,6.91%,18.62%,6.64%,-19.46%,11.41%,-40.76%,19.00%,54.59%,13.31%,44.02%
EPS in Rs,6.57,5.94,5.07,5.19,7.79,6.33,4.08,5.78,4.28,6.98,5.85,6.07,6.16
Raw PDF,,,,,,,,,,,,,
