Metric,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020
Sales,0.91,1.07,1.03,0.89,1.57,2.21,2.42,2.13,3.07,2.12,0.75,2.01,3.28
  └─ YOY Sales Growth %,,,171.05%,56.14%,72.53%,106.54%,134.95%,139.33%,95.54%,-4.07%,-69.01%,-5.63%,6.84%
Expenses,0.79,0.95,0.92,0.83,1.33,1.43,1.88,1.72,2.49,2.89,0.77,1.43,2.18
  └─ Material Cost %,71%,71%,67%,60%,66%,48%,61%,63%,70%,115%,88%,69%,59%
  └─ Employee Cost %,4%,7%,9%,11%,7%,6%,9%,9%,6%,5%,13%,1%,3%
Operating Profit,0.12,0.12,0.11,0.06,0.24,0.78,0.54,0.41,0.58,-0.77,-0.02,0.58,1.10
OPM %,13.19%,11.21%,10.68%,6.74%,15.29%,35.29%,22.31%,19.25%,18.89%,-36.32%,-2.67%,28.86%,33.54%
Other Income,0.09,0.09,0.00,0.04,0.02,0.02,0.02,0.04,0.04,0.03,0.00,0.00,0.00
  └─ Other income normal,0.09,0.09,0.00,0.04,0.02,0.02,0.02,0.04,0.04,0.03,0.00,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02
Profit before tax,0.20,0.20,0.10,0.08,0.24,0.79,0.54,0.43,0.60,-0.77,-0.04,0.56,1.08
Tax %,0.00%,0.00%,0.00%,37.50%,16.67%,24.05%,27.78%,34.88%,21.67%,-28.57%,0.00%,23.21%,25.93%
Net Profit,0.20,0.20,0.09,0.04,0.20,0.54,0.39,0.35,0.48,-0.55,-0.05,0.42,0.80
  └─ Profit from Associates,0,0,0,0,0,-0,0,0,0,0,-0,-0,-0
  └─ Minority share,0,0,0,0,-0,0,0,0,-0,-0,0,0,0
  └─ Profit excl Excep,0,0,0,0,0,1,0,0,0,-1,-0,0,1
  └─ Profit for PE,0,0,0,0,0,1,0,0,0,-1,-0,0,1
  └─ Profit for EPS,0,0,0,0,0,1,0,0,0,-1,-0,0,1
  └─ YOY Profit Growth %,,,500%,800%,-15%,170%,242%,400%,165%,-213%,-112%,20%,78%
EPS in Rs,0.23,0.23,0.14,0.08,0.19,0.61,0.47,0.40,0.51,-0.69,-0.06,0.48,0.91
Raw PDF,,,,,,,,,,,,,
