Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,145,98,103,112,182,113,129,170,183,157,204,242,271
  └─ YOY Sales Growth %,-18.34%,-9.82%,-33.67%,19.52%,25.66%,15.42%,25.89%,52.14%,0.18%,39.94%,58.31%,41.79%,48.15%
Expenses,127,91,94,98,168,101,116,143,153,140,181,222,240
  └─ Material Cost %,73%,70%,67%,61%,70%,62%,58%,57%,60%,66%,72%,76%,75%
  └─ Employee Cost %,3%,5%,5%,5%,3%,5%,5%,4%,3%,4%,3%,3%,3%
Operating Profit,18,6,8,14,14,12,14,27,29,18,23,20,31
OPM %,12%,6%,8%,13%,8%,10%,11%,16%,16%,11%,11%,8%,11%
Other Income,0,4,4,6,4,5,3,-2,1,6,2,3,-4
  └─ Other income normal,0.16,3.56,3.55,5.79,3.98,4.66,3.31,-1.97,0.99,6.48,1.63,2.97,-4.26
Interest,1,1,0,0,1,1,1,1,1,1,1,1,1
Depreciation,10,8,8,8,8,7,8,8,8,8,8,8,9
Profit before tax,8,1,4,11,10,8,8,16,22,15,16,14,17
Tax %,35%,12%,29%,28%,34%,28%,24%,29%,30%,29%,29%,22%,32%
Net Profit,5,1,3,8,6,6,6,11,15,11,11,11,11
  └─ Minority share,0.01,0.02,0.07,0.03,0.41,0.14,0.16,0.77,0.64,0.39,0.32,0.35,0.54
  └─ Profit excl Excep,4.98,1.25,2.69,8.23,6.37,5.81,6.39,11.38,15.12,10.88,11.47,10.84,11.29
  └─ Profit for PE,4.99,1.27,2.76,8.26,6.78,5.95,6.55,12.15,15.76,11.27,11.79,11.19,11.83
  └─ Profit for EPS,4.99,1.27,2.76,8.26,6.78,5.95,6.55,12.15,15.76,11.27,11.79,11.19,11.83
  └─ YOY Profit Growth %,-72.39%,-46.64%,-24.18%,121.45%,35.87%,368.50%,137.32%,47.09%,132.45%,89.41%,80.00%,-7.90%,-24.94%
EPS in Rs,1.14,0.29,0.63,1.89,1.55,1.36,1.50,2.78,3.61,2.58,2.70,2.56,2.71
Raw PDF,,,,,,,,,,,,,
