Metric,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021
Sales,1.87,7.37,15.97,7.63,6.20,3.47,14.10,0.23,4.45,6.22,10.14,7.54,12.11
  └─ YOY Sales Growth %,,109%,270%,368%,232%,-53%,-12%,-97%,-28%,79%,-28%,3178%,172%
Expenses,3.09,5.22,5.62,3.31,3.77,2.64,7.88,1.32,3.32,3.78,7.18,7.33,7.96
  └─ Material Cost %,71.12%,40.43%,19.04%,11.80%,20.16%,9.22%,39.22%,0.00%,22.92%,19.13%,42.50%,60.61%,40.79%
  └─ Employee Cost %,50.27%,15.33%,7.08%,14.42%,20.00%,34.58%,9.43%,360.87%,27.42%,21.86%,12.52%,17.77%,11.64%
Operating Profit,-1.22,2.15,10.35,4.32,2.43,0.83,6.22,-1.09,1.13,2.44,2.96,0.21,4.15
OPM %,-65.24%,29.17%,64.81%,56.62%,39.19%,23.92%,44.11%,-473.91%,25.39%,39.23%,29.19%,2.79%,34.27%
Other Income,0.07,0.21,0.19,0.13,0.03,0.04,-0.19,0.11,0.08,0.08,0.39,0.25,0.13
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,-0.70,0.00,0.00,0.02,0.03,0.16,0.05
  └─ Other income normal,0.07,0.21,0.19,0.13,0.03,0.04,0.51,0.11,0.08,0.06,0.36,0.09,0.08
Interest,0.45,1.18,0.78,0.70,0.57,0.45,0.58,0.69,0.94,0.74,1.58,0.73,0.80
Depreciation,0.07,0.08,0.10,0.09,0.09,0.09,0.02,0.07,0.04,0.06,0.08,0.06,0.06
Profit before tax,-1.67,1.10,9.66,3.66,1.80,0.33,5.43,-1.74,0.23,1.72,1.69,-0.33,3.42
Tax %,0.00%,0.00%,39.34%,20.77%,9.44%,18.18%,88.77%,0.00%,0.00%,2.91%,70.41%,0.00%,22.81%
Net Profit,-1.67,1.10,5.87,2.90,1.64,0.27,0.60,-1.74,0.22,1.67,0.50,-0.34,2.64
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,-2,1,6,3,2,0,1,-2,0,2,0,-0,3
  └─ Profit for PE,-2,1,6,3,2,0,1,-2,0,2,0,-0,3
  └─ Profit for EPS,-2,1,6,3,2,0,1,-2,0,2,0,-0,3
  └─ YOY Profit Growth %,,176%,1368%,276%,198%,-75%,-90%,-160%,-87%,511%,-16%,71%,1082%
EPS in Rs,-2.35,1.55,8.25,4.07,2.30,0.38,0.84,-2.44,0.31,2.35,0.70,-0.48,3.71
Raw PDF,,,,,,,,,,,,,
