Metric,Sep 2021,Mar 2022
  └─ Material Cost %,26%,83%
  └─ Employee Cost %,70%,29%
  └─ Other income normal,0.54,1.09
  └─ Profit excl Excep,0.04,-4.96
  └─ Profit for PE,0.04,-4.96
  └─ Profit for EPS,0.04,-4.96
