Metric,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
Sales,1571.81,1742.23,1442.96,85.82,409.19,950.09,831.62,297.99,833.14,1255.38,607.42,272.88,177.61
  └─ YOY Sales Growth %,18%,3%,4%,-94%,-74%,-45%,-42%,247%,104%,32%,-27%,-8%,-79%
Expenses,1314.38,1421.14,1294.86,195.71,461.38,907.58,754.67,396.61,814.13,1138.16,1255.28,274.93,195.92
  └─ Material Cost %,66%,65%,72%,73%,70%,73%,69%,69%,68%,67%,130%,65%,60%
  └─ Employee Cost %,6%,5%,5%,48%,12%,6%,6%,21%,7%,6%,8%,11%,18%
Operating Profit,257.43,321.09,148.10,-109.89,-52.19,42.51,76.95,-98.62,19.01,117.22,-647.86,-2.05,-18.31
OPM %,16.38%,18.43%,10.26%,-128.05%,-12.75%,4.47%,9.25%,-33.10%,2.28%,9.34%,-106.66%,-0.75%,-10.31%
Other Income,11.44,11.06,-46.84,10.56,14.80,13.18,11.82,11.18,2.57,14.92,-959.36,27.87,154.16
  └─ Exceptional items,0,0,-84,0,0,0,0,0,-7,0,-668,0,0
  └─ Other income normal,11,11,37,11,15,13,12,11,10,15,-292,28,154
Interest,74.77,66.35,93.08,82.06,86.82,88.10,92.70,99.12,75.07,82.96,64.40,61.45,53.34
Depreciation,173.20,178.70,191.61,171.37,138.31,143.67,145.06,167.33,165.79,161.31,118.99,100.33,90.04
Profit before tax,20.90,87.10,-183.43,-352.76,-262.52,-176.08,-148.99,-353.89,-219.28,-112.13,-1790.61,-135.96,-7.53
Tax %,43.21%,32.03%,-18.96%,0.05%,-1.80%,-1.41%,0.01%,-1.64%,-4.59%,-0.41%,4.99%,-0.00%,-0.00%
Net Profit,11.87,59.20,-148.65,-352.95,-257.80,-173.60,-149.00,-348.08,-209.22,-111.67,-1879.91,-135.96,-7.53
  └─ Exceptional items AT,0,0,-84,0,0,0,0,0,-7,0,-634,0,0
  └─ Profit excl Excep,12,59,-65,-353,-258,-174,-149,-348,-202,-112,-1245,-136,-8
  └─ Profit for PE,12,59,-65,-353,-258,-174,-149,-348,-202,-112,-1245,-136,-8
  └─ Profit for EPS,12,59,-149,-353,-258,-174,-149,-348,-209,-112,-1880,-136,-8
  └─ YOY Profit Growth %,-66%,-8%,-187%,-1538%,-2272%,-393%,-130%,1%,22%,36%,-736%,61%,96%
EPS in Rs,0.59,2.94,-7.37,-17.49,-12.78,-8.60,-7.38,-17.25,-10.37,-5.53,-93.17,-6.74,-0.37
Raw PDF,,,,,,,,,,,,,
