Metric,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
Sales,12.20,11.00,16.71,10.20,23.57,35.21,29.90,28.59,30.52,28.72,33.75,37.35,37.99
  └─ YOY Sales Growth %,-15.86%,-28.48%,-0.42%,-31.73%,93.20%,220.09%,78.93%,180.29%,29.49%,-18.43%,12.88%,30.64%,24.48%
Expenses,13.95,14.41,16.07,11.56,21.71,31.02,28.50,27.51,28.11,27.72,32.37,34.88,34.59
  └─ Material Cost %,52%,61%,55%,61%,63%,65%,67%,62%,65%,65%,70%,67%,67%
  └─ Employee Cost %,39%,45%,30%,42%,20%,15%,18%,23%,17%,21%,15%,14%,14%
Operating Profit,-1.75,-3.41,0.64,-1.36,1.86,4.19,1.40,1.08,2.41,1.00,1.38,2.47,3.40
OPM %,-14.34%,-31.00%,3.83%,-13.33%,7.89%,11.90%,4.68%,3.78%,7.90%,3.48%,4.09%,6.61%,8.95%
Other Income,0.34,0.26,0.31,0.25,0.43,0.35,0.39,0.30,0.28,0.29,3.86,0.40,0.27
  └─ Other income normal,0.34,0.26,0.31,0.25,0.43,0.35,0.39,0.30,0.28,0.29,3.86,0.40,0.27
Interest,0.03,0.09,0.32,0.12,0.16,0.26,0.37,0.34,0.40,0.44,0.45,0.68,0.80
Depreciation,0.46,0.45,1.89,0.72,1.01,1.08,1.12,1.03,1.16,1.03,0.89,1.03,1.10
Profit before tax,-1.90,-3.69,-1.26,-1.95,1.12,3.20,0.30,0.01,1.13,-0.18,3.90,1.16,1.77
Tax %,-25.26%,-31.17%,9.52%,-27.69%,33.93%,24.69%,143.33%,800.00%,-58.41%,322.22%,17.95%,25.00%,29.94%
Net Profit,-1.42,-2.54,-1.38,-1.41,0.74,2.41,-0.13,-0.08,1.79,-0.75,3.20,0.86,1.24
  └─ Minority share,0.15,0.39,0.03,0.15,-0.44,-0.82,-0.18,-0.39,-0.36,0.51,0.18,-0.03,-0.13
  └─ Profit excl Excep,-1.42,-2.54,-1.38,-1.41,0.74,2.41,-0.13,-0.08,1.79,-0.75,3.20,0.86,1.24
  └─ Profit for PE,-1.27,-2.15,-1.35,-1.26,0.30,1.59,-0.31,-0.47,1.43,-0.24,3.38,0.83,1.11
  └─ Profit for EPS,-1.27,-2.15,-1.35,-1.26,0.30,1.59,-0.31,-0.47,1.43,-0.24,3.38,0.83,1.11
  └─ YOY Profit Growth %,-19.81%,-437.50%,-275.32%,-647.83%,123.62%,173.95%,77.04%,62.70%,376.67%,-115.09%,1190.32%,276.60%,-22.38%
EPS in Rs,-3.43,-5.80,-3.64,-3.40,0.81,4.29,-0.84,-1.27,3.86,-0.65,9.12,2.24,2.99
Raw PDF,,,,,,,,,,,,,
