Metric,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,12.16,7.12,7.63,4.75,4.89
  └─ YOY Sales Growth %,,,,,-60%
Expenses,11.03,7.06,7.24,4.48,3.15
  └─ Material Cost %,60.77%,75.70%,61.73%,57.68%,32.11%
  └─ Employee Cost %,3.70%,5.06%,5.11%,6.74%,7.16%
Operating Profit,1.13,0.06,0.39,0.27,1.74
OPM %,9.29%,0.84%,5.11%,5.68%,35.58%
Other Income,0.10,0.30,0.00,0.00,0.25
  └─ Other income normal,0.10,0.30,0.00,0.00,0.25
Interest,0.00,0.00,0.00,0.00,0.00
Depreciation,0.27,0.35,0.37,0.36,0.93
Profit before tax,0.96,0.01,0.02,-0.09,1.06
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,0.96,0.01,0.02,-0.09,1.06
  └─ Profit excl Excep,0.96,0.01,0.02,-0.09,1.06
  └─ Profit for PE,0.96,0.01,0.02,-0.09,1.06
  └─ Profit for EPS,0.96,0.01,0.02,-0.09,1.06
  └─ YOY Profit Growth %,,,,,10.42%
EPS in Rs,0.43,0.00,0.01,-0.03,0.30
Raw PDF,,,,,
