Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,2317,2145,2004,1429,1914,1738,1708,915,1237,1466,1120,792,1408
  └─ YOY Sales Growth %,2.40%,14.68%,-18.46%,-26.89%,-17.37%,-18.96%,-14.74%,-35.97%,-35.39%,-15.69%,-34.42%,-13.38%,13.84%
Expenses,2363,2160,1738,1872,2145,1973,1659,1290,1425,1393,1202,1228,1589
  └─ Material Cost %,0.99%,1.08%,0.97%,0.92%,0.87%,1.23%,0.93%,1.15%,0.87%,0.81%,0.91%,1.23%,0.97%
  └─ Employee Cost %,9.78%,10.34%,10.65%,14.14%,11.05%,11.15%,10.69%,17.78%,12.43%,10.88%,14.45%,19.37%,11.39%
Operating Profit,-46,-15,265,-443,-231,-235,49,-376,-188,73,-82,-435,-181
OPM %,-2%,-1%,13%,-31%,-12%,-14%,3%,-41%,-15%,5%,-7%,-55%,-13%
Other Income,506,354,263,297,242,636,370,163,417,492,81,43,117
  └─ Exceptional items,0,0,0,0,0,0,0,0,0,0,0,0,-20
  └─ Other income normal,506,354,263,297,242,636,370,163,417,492,81,43,137
Interest,115,120,123,114,126,102,88,88,61,57,63,54,52
Depreciation,235,225,208,189,184,173,172,158,148,166,170,175,146
Profit before tax,110,-6,198,-449,-299,127,158,-458,20,342,-234,-622,-262
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit,110,-6,198,-449,-299,127,158,-458,20,342,-234,-621,-262
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0,-20
  └─ Profit excl Excep,110,-6,198,-449,-299,127,158,-458,20,342,-234,-621,-242
  └─ Profit for PE,110,-6,198,-449,-299,127,158,-458,20,342,-234,-621,-242
  └─ Profit for EPS,110,-6,198,-449,-299,127,158,-458,20,342,-234,-621,-261
  └─ YOY Profit Growth %,-8%,99%,125%,46%,-370%,2151%,-20%,-2%,107%,169%,-248%,-36%,-1282%
EPS in Rs,1.84,-0.10,3.28,-6.56,-4.36,1.62,2.00,-3.57,0.16,2.42,-1.65,-4.40,-1.71
Raw PDF,,,,,,,,,,,,,
