Metric,Sep 2019,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,5.56,7.66,8.54,8.29,8.57,8.02,8.55,7.48,8.42,7.89,7.86,7.07,10.46
Expenses,4.98,7.12,9.23,8.18,8.15,8.41,10.14,7.64,9.86,7.47,7.98,6.98,12.34
  └─ Material Cost %,26%,29%,20%,28%,19%,31%,24%,17%,30%,13%,50%,28%,39%
  └─ Employee Cost %,42%,54%,52%,55%,56%,59%,67%,61%,58%,62%,43%,50%,57%
Operating Profit,0.58,0.54,-0.69,0.11,0.42,-0.39,-1.59,-0.16,-1.44,0.42,-0.12,0.09,-1.88
OPM %,10.43%,7.05%,-8.08%,1.33%,4.90%,-4.86%,-18.60%,-2.14%,-17.10%,5.32%,-1.53%,1.27%,-17.97%
Other Income,0.03,0.05,-0.03,0.17,0.18,0.16,0.59,0.10,0.12,0.09,0.04,-0.08,0.27
  └─ Other income normal,0.03,0.05,-0.03,0.17,0.18,0.16,0.59,0.10,0.12,0.09,0.04,-0.08,0.27
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.04,0.03,0.12
Depreciation,0.09,0.09,-0.08,0.05,0.16,0.06,0.06,0.05,0.09,0.05,0.07,0.04,2.18
Profit before tax,0.52,0.50,-0.64,0.23,0.44,-0.29,-1.06,-0.11,-1.47,0.43,-0.19,-0.06,-3.91
Tax %,0.00%,4.00%,51.56%,4.35%,20.45%,6.90%,-1.89%,0.00%,0.00%,2.33%,-26.32%,-16.67%,27.37%
Net Profit,0.53,0.49,-0.98,0.22,0.35,-0.32,-1.04,-0.11,-1.46,0.42,-0.15,-0.05,-4.97
  └─ Minority share,0.00,-0.01,0.02,-0.01,0.00,-0.01,0.02,-0.01,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,0.53,0.49,-0.98,0.22,0.35,-0.32,-1.04,-0.11,-1.46,0.42,-0.15,-0.05,-4.97
  └─ Profit for PE,0.53,0.48,-0.96,0.21,0.35,-0.33,-1.02,-0.12,-1.46,0.42,-0.15,-0.05,-4.97
  └─ Profit for EPS,0.53,0.48,-0.96,0.21,0.35,-0.33,-1.02,-0.12,-1.46,0.42,-0.15,-0.05,-4.97
EPS in Rs,1.48,1.34,-2.67,0.58,0.97,-0.92,-2.84,-0.33,-4.07,1.17,-0.42,-0.14,-13.84
Raw PDF,,,,,,,,,,,,,
